Ime,Starost,Poklic,Rojstni dan
Morgan Wallen,31,Country Singer,13-05
Debby Ryan,31,TV Actress,13-05
Robert Pattinson,38,Movie Actor,13-05
Twaimz,29,YouTube Star,13-05
Candice Accola,37,TV Actress,13-05
Francisco Lachowski,33,Model,13-05
Jesús Ortiz-Paz,27,World Music Singer,13-05
Hyper,24,Roblox Star,13-05
Stevie Wonder,74,R&B Singer,13-05
Beckham Blue LaBrant,2 months,Family Member,13-05
Kayla Brianna,31,R&B Singer,13-05
Judah Nelson,18,Movie Actor,13-05
Tristan Pravong,19,TV Actor,13-05
Dennis Rodman,63,Basketball Player,13-05
Michael L Mandell,37,TikTok Star,13-05
Alexander Rybak,38,World Music Singer,13-05
Rory Eliza,22,TikTok Star,13-05
Garrett Hilbert,37,YouTube Star,13-05
Jalen Noble,31,Reality Star,13-05
An Qi,28,Pop Singer,13-05
Azalea Carey,19,TikTok Star,13-05
Mika Abdalla,24,TV Actress,13-05
TheCologneBoy,18,TikTok Star,13-05
Randolph,30,Rapper,13-05
CJ Jackson,42,TikTok Star,13-05
Carrington Nakwaasah,34,Instagram Star,13-05
Baby Tate,28,Rapper,13-05
Pusha T,47,Rapper,13-05
Ronnie Coleman,60,Bodybuilder,13-05
Darius Rucker,58,Country Singer,13-05
Daniel Nelson,27,TikTok Star,13-05
Stephen Colbert,60,TV Show Host,13-05
HRHCollection,40,YouTube Star,13-05
Arash Baba Moini,23,TikTok Star,13-05
Jan Ravnik,29,TikTok Star,13-05
Romelu Lukaku,31,Soccer Player,13-05
Jack Harries,31,YouTube Star,13-05
Scott Morrison,56,Politician,13-05
Tish Cyrus,57,Instagram Star,13-05
Isabelle Dubroy,18,R&B Singer,13-05
Mandla Morris,19,Instagram Star,13-05
Rusty Featherstone,23,TikTok Star,13-05
Dawn Harper-Nelson,40,Hurdler,13-05
Cscoop,26,YouTube Star,13-05
Jamileh Navalua,25,YouTube Star,13-05
Finn Harries,31,YouTube Star,13-05
BookOfKen,30,YouTube Star,13-05
