Ime,Starost,Poklic,Rojstni dan
PresLee Grace Nelson,11,YouTube Star,12-04
Brendon Urie,37,Rock Singer,12-04
True Thompson,6,Family Member,12-04
onlyjayus,25,TikTok Star,12-04
Saoirse Ronan,30,Movie Actress,12-04
Melanie Wilking,25,TikTok Star,12-04
piso4,20,Twitch Star,12-04
Trinitee Stokes,18,TV Actress,12-04
Katelyn Ohashi,27,Gymnast,12-04
Jennifer Morrison,45,TV Actress,12-04
Ed O'Neill,78,TV Actor,12-04
Benjix,26,TikTok Star,12-04
Vegetta777,35,YouTube Star,12-04
Jenna Johnson,30,Instagram Star,12-04
Paulo Londra,26,Rapper,12-04
shooshiMooshi,25,YouTube Star,12-04
Sehun,30,Rapper,12-04
Claire Danes,45,TV Actress,12-04
Jessica Walton,46,Family Member,12-04
Manuel Turizo,24,Reggaeton Singer,12-04
Alayna Fender,32,YouTube Star,12-04
Janina Vela Punzalan,25,YouTube Star,12-04
Christina Moore,51,TV Actress,12-04
Jessie James Decker,36,Country Singer,12-04
David Letterman,77,TV Show Host,12-04
Akai Osei,25,Dancer,12-04
Claudia Jordan,51,Model,12-04
Farmer Will,25,TikTok Star,12-04
Daniela Bustillos,10,TikTok Star,12-04
Travis Mills,35,Rapper,12-04
Tayler Hills,20,Instagram Star,12-04
Joe Jitsukawa,40,YouTube Star,12-04
LadBaby,37,Blogger,12-04
Andy García,68,Movie Actor,12-04
Rvssian,34,Music Producer,12-04
Aisha DiaryRoom,25,TikTok Star,12-04
Kim Sun Woo,24,Rapper,12-04
Glory Norman,30,Instagram Star,12-04
Shallipopi,24,Rapper,12-04
Vince Gill,67,Country Singer,12-04
Jasleen Saini,33,YouTube Star,12-04
Larry Saperstein,26,TV Actor,12-04
Carlos Sainz Sr.,62,Race Car Driver,12-04
Alyssa Thomas,32,Basketball Player,12-04
