Ime,Starost,Poklic
Jenna Ortega,21,TV Actress
Nara Smith,22,Instagram Star
Lil Wayne,41,Rapper
Cynthia Parker,19,TikTok Star
Jaiden Animations,26,YouTube Star
Avril Lavigne,39,Pop Singer
Mitski,33,Rock Singer
Serene Hesri,28,Instagram Star
Sophia Watts,20,TikTok Star
Keeho,22,Pop Singer
Gwyneth Paltrow,51,Movie Actress
Spencer Bramucci,19,TikTok Star
Jillian Shea Spaeder,21,TV Actress
Gabe Unspeakable,26,YouTube Star
Joie Chavis,35,Instagram Star
Madeline Damskey,27,Instagram Star
Domics,33,YouTube Star
Grace Helbig,38,YouTube Star
Harry Sisson,21,TikTok Star
Noizy,37,Rapper
Skanteryt,18,TikTok Star
Víctor Pérez,22,TikTok Star
Arielle Vandenberg,37,Model
Max The Meat Guy,31,TikTok Star
KORA,19,TikTok Star
Venezuela Fury,14,Family Member
Jojo Tua,23,TV Actor
Steve Kerr,58,Basketball Coach
YaBoyRoshi,33,YouTube Star
Anna Camp,41,TV Actress
Trick Daddy,50,Rapper
Maddi Bragg,25,YouTube Star
Amira Harvey,20,TV Actress
Granit Xhaka,31,Soccer Player
Chuy Mine,22,YouTube Star
Itsyeboi,32,YouTube Star
Buddy Valastro III,19,Family Member
Summer Beaver,16,TikTok Star
Austin Carlile,36,Metal Singer
Daniela Rivera,30,Model
Jace Randolph,18,TikTok Star
Rochelle Diamante,29,Pop Singer
Nupur Sharma,24,TikTok Star
João Neves,19,Soccer Player
Cathy Kelley,35,Sportscaster
