Ime,Starost,Poklic,Rojstni dan
Ellen DeGeneres,66,TV Show Host,26-01
Joseph Quinn,30,TV Actor,26-01
Annie Rose,18,YouTube Star,26-01
Sasha Banks,32,Wrestler,26-01
Addison Riecke,20,TV Actress,26-01
Gekyume Onfroy,5,Family Member,26-01
YaYa Gosselin,15,TV Actress,26-01
Manuel Enrique,22,TikTok Star,26-01
PrettyLuhHazel,17,TikTok Star,26-01
Monet McMichael,24,TikTok Star,26-01
Oli White,29,YouTube Star,26-01
Brady Shepherd,18,TikTok Star,26-01
Sarah Georgiana,17,TikTok Star,26-01
Sergio Pérez,34,Race Car Driver,26-01
Wayne Gretzky,63,Hockey Player,26-01
123 GO! Kevin,26,TikTok Star,26-01
Joe Rauth,24,TikTok Star,26-01
Vince Carter,47,Basketball Player,26-01
Ester Expósito,24,TV Actress,26-01
Jdot Breezy,23,Rapper,26-01
Carson Roney,26,TikTok Star,26-01
Maliah Blake,23,Instagram Star,26-01
Kirk Franklin,54,Gospel Singer,26-01
Paige Lorenze,26,Instagram Star,26-01
Colin O'Donoghue,43,TV Actor,26-01
Harry Daniels,20,TikTok Star,26-01
Max Taylor,26,TikTok Star,26-01
Iza Cryssanthander,19,TikTok Star,26-01
Halle Pitman,19,TikTok Star,26-01
Anita Baker,66,R&B Singer,26-01
KingSammelot,18,YouTube Star,26-01
Alonzo 'Gorilla Zoe' Mathis,41,Rapper,26-01
Sapphire,21,Pop Singer,26-01
sullyoon,20,Pop Singer,26-01
Jhoanna Robles,20,Pop Singer,26-01
José Mourinho,61,Soccer Coach,26-01
Colton Underwood,32,Reality Star,26-01
Lilah Levine,17,Instagram Star,26-01
Nayeli Pizarro,18,TikTok Star,26-01
True Geordie,37,YouTube Star,26-01
Kanan Hunt,22,TikTok Star,26-01
Ryan Yianakopolos,29,Snapchat Star,26-01
ADHDcraft,29,YouTube Star,26-01
Elle Cryssanthander,19,TikTok Star,26-01
Dimpey,22,TikTok Star,26-01
