Ime,Starost,Poklic,Rojstni dan
Rebecca Zamolo,41,YouTube Star,28-11
Momona Tamada,17,TV Actress,28-11
Brenna D'Amico,23,TV Actress,28-11
Mark Adams,29,TikTok Star,28-11
Hilary Duff,36,TV Actress,28-11
Cameron Huff,24,YouTube Star,28-11
Cavan Sullivan,14,Soccer Player,28-11
Olivia Jade,24,YouTube Star,28-11
Alexandra Marasigan,16,TikTok Star,28-11
Lauren Spencer-Smith,20,Pop Singer,28-11
Chilly Jimenez,28,YouTube Star,28-11
Maria Canals Barrera,57,TV Actress,28-11
Olivia Neill,22,YouTube Star,28-11
Frankie Jonas,23,TV Actor,28-11
Jeezy,46,Rapper,28-11
Reggie Hacker,19,TikTok Star,28-11
Exploring with Fighters,36,YouTube Star,28-11
Morgan Cohen,26,TikTok Star,28-11
Nick Viall,43,Reality Star,28-11
Daisy Choi,21,YouTube Star,28-11
Sheikh Hasina,76,Politician,28-11
Que 9,20,Rapper,28-11
Daneboe,45,YouTube Star,28-11
Tokyoxvanity,29,Reality Star,28-11
The Anime Man,29,YouTube Star,28-11
Ranbir Kapoor,41,Movie Actor,28-11
Hana Mae Lee,35,Movie Actress,28-11
Terence Crawford,36,Boxer,28-11
Naomi Watts,55,Movie Actress,28-11
Ford Walker,10,YouTube Star,28-11
Brigitte Bardot,89,Movie Actress,28-11
Genie,32,Pop Singer,28-11
GP,24,YouTube Star,28-11
Dana Taranova,18,Instagram Star,28-11
Michael Ronda,27,TV Actor,28-11
Jessie Wynter,27,Reality Star,28-11
LamboTelevision,19,TikTok Star,28-11
Trevor Daniel,29,Pop Singer,28-11
Kevin MacLeod,51,Composer,28-11
Nicholas Smith,36,TikTok Star,28-11
Bam Margera,44,Reality Star,28-11
Jeff Perla,31,Instagram Star,28-11
St. Vincent,41,Pop Singer,28-11
Isidora Vives,21,TV Actress,28-11
Acai,27,YouTube Star,28-11
Andrew Foy,22,YouTube Star,28-11
Omar Sebali,29,YouTube Star,28-11
