Ime,Starost,Poklic,Rojstni dan
Lil Mosey,22,Rapper,25-01
Alicia Keys,43,R&B Singer,25-01
Darla Claire,19,TikTok Star,25-01
Calum Hood,28,Bassist,25-01
Jesse James West,24,YouTube Star,25-01
Laura Johnston,10,YouTube Star,25-01
Michelle Kennelly,21,TikTok Star,25-01
Volodymyr Zelenskyy,46,World Leader,25-01
Jai Waetford,25,Pop Singer,25-01
The Narrator,25,YouTube Star,25-01
beautyofliyah,19,TikTok Star,25-01
YNW JGreen,25,Rapper,25-01
Iqra Kanwal,29,YouTube Star,25-01
Isabella Tena,17,TV Actress,25-01
Michael Trevino,39,TV Actor,25-01
Nick Polom,33,Twitch Star,25-01
Xavi,44,Soccer Player,25-01
Jenifer Lewis,67,Movie Actress,25-01
Dustin Ingram,34,Movie Actor,25-01
Ariana DeBose,33,Stage Actress,25-01
Lee Junho,34,Pop Singer,25-01
samrawit,23,TikTok Star,25-01
Wong Yuk-hei,25,Rapper,25-01
Caroline Wigg,27,TikTok Star,25-01
Pauline Chalamet,32,Movie Actress,25-01
Hayden Hicks,20,TikTok Star,25-01
Tiny Texie,32,TikTok Star,25-01
Naomi Neo,28,YouTube Star,25-01
Sharla May,29,Instagram Star,25-01
Sanket Mehta,24,TikTok Star,25-01
Anna Campbell,31,YouTube Star,25-01
Dra Wooten,28,TikTok Star,25-01
Celiwaki,13,Instagram Star,25-01
Maria Ysabel Ortega,25,TV Actress,25-01
Kayla DiCello,20,Gymnast,25-01
Christian Hogue,32,Model,25-01
Addie Weems,17,YouTube Star,25-01
Michelle McCool,44,Wrestler,25-01
Hannah Bryan,29,YouTube Star,25-01
Eliana Chrysikopoulou,42,Journalist,25-01
Kevin Alston,23,Pop Singer,25-01
Cho Gue-sung,26,Soccer Player,25-01
Whocasper,22,TikTok Star,25-01
Kylie Padilla,31,TV Actress,25-01
Tati Gabrielle,28,TV Actress,25-01
Rob Stone,29,Rapper,25-01
