Ime,Starost,Poklic,Rojstni dan
Tyler Vitelli,21,TikTok Star,11-12
Alexa Demie,33,Movie Actress,11-12
Hailee Steinfeld,27,Movie Actress,11-12
Paultooreall,15,TikTok Star,11-12
Jack Griffo,27,TV Actor,11-12
Rey Mysterio,49,Wrestler,11-12
Kyrie Prince,7,YouTube Star,11-12
aimsey,22,Twitch Star,11-12
Linda Dong,31,TikTok Star,11-12
Abelardo Campuzano,22,TikTok Star,11-12
Indiyah Polack,25,Reality Star,11-12
Sam Wilkinson,28,Instagram Star,11-12
Nikki Sixx,65,Bassist,11-12
Noelle Schnacky,17,TikTok Star,11-12
Colleen Hoover,44,Novelist,11-12
Rider Strong,44,TV Actor,11-12
Mos Def,50,Rapper,11-12
ZoeTheNoob,17,YouTube Star,11-12
Julian Lopez,24,YouTube Star,11-12
Shane Gillis,36,Comedian,11-12
Brenda Lee,79,Country Singer,11-12
Sierra Rain,20,TikTok Star,11-12
Rita Moreno,92,Stage Actress,11-12
Ally Hills,31,YouTube Star,11-12
Jermaine Jackson,69,Pop Singer,11-12
Courtney Henggeler,45,TV Actress,11-12
Zeinab Harake,25,YouTube Star,11-12
Nick Mayorga,24,YouTube Star,11-12
Ben Cook,26,Stage Actor,11-12
Veronika Zolotova,21,TikTok Star,11-12
Garett Nolan,26,TikTok Star,11-12
PJ Liguori,33,YouTube Star,11-12
Olivia Somersille,21,YouTube Star,11-12
Justin Gazzillo,19,TikTok Star,11-12
Nikki Woods,21,TikTok Star,11-12
Junior Bautista,19,TikTok Star,11-12
Matthew Tkachuk,26,Hockey Player,11-12
HappyHappyGal,28,TikTok Star,11-12
Xime Ponch,21,YouTube Star,11-12
Firerose,35,Pop Singer,11-12
Mo'Nique,56,Movie Actress,11-12
DJ Yella,62,Music Producer,11-12
Alex Russell,36,Movie Actor,11-12
Sierraslaays,22,TikTok Star,11-12
Kyndall Harris,21,Instagram Star,11-12
Tiffany Alvord,31,YouTube Star,11-12
Yūki Ishikawa,28,Volleyball Player,11-12
Gabriel Basso,29,TV Actor,11-12
