Ime,Starost,Poklic,Rojstni dan
JoJo Siwa,21,YouTube Star,19-05
Nick DiGiovanni,28,Chef,19-05
Nikocado Avocado,32,YouTube Star,19-05
Marshmello,32,DJ,19-05
Sam Smith,32,Pop Singer,19-05
Lainey Wilson,32,Country Singer,19-05
Harper Fluellen,5,TikTok Star,19-05
Christian Vierling,27,TikTok Star,19-05
Scarlet Vas,29,TikTok Star,19-05
Josh Allan,19,TikTok Star,19-05
Orlin Home,32,YouTube Star,19-05
Yo Gotti,43,Rapper,19-05
Elle Ray,21,TikTok Star,19-05
Kevin Garnett,48,Basketball Player,19-05
Riccardo Calafiori,22,Soccer Player,19-05
Jessica Fox,41,Movie Actress,19-05
Jaidyn Lynzee,22,YouTube Star,19-05
Cuda Cash,22,YouTube Star,19-05
Saylor Curda,20,TV Actress,19-05
Grace Jones,76,Pop Singer,19-05
Kim Zolciak,46,Reality Star,19-05
Kylie Prew,20,Instagram Star,19-05
BlocBoy JB,28,Rapper,19-05
Mya Mills,23,Instagram Star,19-05
BigDawsTv,31,YouTube Star,19-05
Karina Kola,23,YouTube Star,19-05
Will Simmons,24,Dancer,19-05
Robert Georges,21,TikTok Star,19-05
GoDeiK,21,YouTube Star,19-05
Micarah Tewers,29,YouTube Star,19-05
Noah Sweeney,21,TikTok Star,19-05
Lindsey Pelas,33,Instagram Star,19-05
Mali-koa Hood,33,Pop Singer,19-05
OR3O,25,YouTube Star,19-05
Malakai Black,39,Wrestler,19-05
Josef Martínez,31,Soccer Player,19-05
Ominus Nebula,20,YouTube Star,19-05
Jeffery Zhang,27,TikTok Star,19-05
Maile Flanagan,59,Voice Actress,19-05
Andrea Pirlo,45,Soccer Player,19-05
Aaron Marino,48,Business Executive,19-05
Eleanor Tomlinson,32,Movie Actress,19-05
Michela Luci,18,TV Actress,19-05
