Ime,Starost,Poklic,Rojstni dan
Pierson Wodzynski,25,TikTok Star,18-02
Nick Fosco,21,Twitch Star,18-02
Damien Prince,32,YouTube Star,18-02
J-Hope,30,Rapper,18-02
Dr. Dre,59,Music Producer,18-02
Elise Ecklund,27,YouTube Star,18-02
John Travolta,70,Movie Actor,18-02
Matt Dillon,60,Movie Actor,18-02
Sarah-Jade Bleau,23,TikTok Star,18-02
Fuhad,33,Podcast Host,18-02
Molly Ringwald,56,Movie Actress,18-02
Ace Haddock,5 months,Family Member,18-02
Chwe Vernon Hansol,26,Rapper,18-02
Michael Zavala,31,Reality Star,18-02
23k Lai,16,YouTube Star,18-02
Dorito's Reaction,20,YouTube Star,18-02
Lauren Emowhofromwhoville,21,TikTok Star,18-02
Angry Grandma,80,YouTube Star,18-02
Yoko Ono,91,Activist,18-02
Roland Hall,38,YouTube Star,18-02
Eden Wood,19,Reality Star,18-02
Lee Seokmin,27,Pop Singer,18-02
Vanna White,67,Game Show Host,18-02
Nellie Biles,74,Family Member,18-02
Kylie Rogers,20,TV Actress,18-02
Karla Jara,28,Instagram Star,18-02
thareaal.moraa,14,Instagram Star,18-02
Dean Scott Vazquez,16,Movie Actor,18-02
Juelz Santana,42,Rapper,18-02
Roberto Baggio,57,Soccer Player,18-02
Loyal Armani,5,Family Member,18-02
RondoNumbaNine,27,Rapper,18-02
Logan Miller,32,TV Actor,18-02
Malese Jow,33,TV Actress,18-02
Xen Vermax,17,YouTube Star,18-02
Norafawn,24,Cosplayer,18-02
Gary Neville,49,Soccer Player,18-02
Gia Sammartino,22,TikTok Star,18-02
Tamina Pollack-Paris,35,Dancer,18-02
FYB J Mane,28,Rapper,18-02
Avi Lake,20,Movie Actress,18-02
Gina Valentina,27,Instagram Star,18-02
Erica Mattingly,20,TikTok Star,18-02
Ramz,27,Rapper,18-02
John Mayberry,75,Baseball Player,18-02
