Ime,Starost,Poklic,Rojstni dan
Michael Jordan,61,Basketball Player,17-02
Ed Sheeran,33,Pop Singer,17-02
Paris Hilton,43,Reality Star,17-02
Chiquita,15,Pop Singer,17-02
Jeremy Allen White,33,TV Actor,17-02
Sasha Pieterse,28,TV Actress,17-02
Bonnie Wright,33,Movie Actress,17-02
Billie Joe Armstrong,52,Rock Singer,17-02
Peyton Evans,15,Instagram Star,17-02
TaTa,19,Rapper,17-02
Jenna Raine,20,Pop Singer,17-02
Joseph Gordon-Levitt,43,Movie Actor,17-02
Evelyn Reese Harper,13,YouTube Star,17-02
David Goggins,49,Runner,17-02
Denise Richards,53,Movie Actress,17-02
Ian Paget,37,TikTok Star,17-02
Chord Overstreet,35,TV Actor,17-02
GD Colon,20,YouTube Star,17-02
Anne Curtis,39,Instagram Star,17-02
Michael Bay,59,Director,17-02
Baby CJ,9,YouTube Star,17-02
Larry the Cable Guy,61,Movie Actor,17-02
Aidan Alexander,24,Movie Actor,17-02
Amari Bailey,20,Reality Star,17-02
Nathan Evan,29,TikTok Star,17-02
Baby Ashlee,17,Instagram Star,17-02
Jason Ritter,44,TV Actor,17-02
Nata Lee,25,Model,17-02
Mont Pantoja,22,TikTok Star,17-02
Milana,14,Pop Singer,17-02
Tiahra Nelson,22,TikTok Star,17-02
Marc Márquez,31,Motorcycle Racer,17-02
Cameron Seely,17,Movie Actress,17-02
Rebecca Adlington,35,Swimmer,17-02
Meaghan Jette Martin,32,TV Actress,17-02
Cooper Alan,28,TikTok Star,17-02
Dominic Purcell,54,TV Actor,17-02
Tyler Crispen,29,Reality Star,17-02
Jerry O'Connell,50,TV Actor,17-02
Natascha Kampusch,36,Memoirist,17-02
Josh Jones,18,YouTube Star,17-02
Big winnn,24,TikTok Star,17-02
Kaay Money,21,TikTok Star,17-02
Suzie Taylor,23,YouTube Star,17-02
Amador Meza,21,TikTok Star,17-02
