Ime,Starost,Poklic,Rojstni dan
Shiloh Nelson,15,Movie Actress,22-01
Caitlin Clark,22,Basketball Player,22-01
Enya Umanzor,25,YouTube Star,22-01
Kyle Richh,21,Rapper,22-01
fouseyTUBE,34,YouTube Star,22-01
Logic,34,Rapper,22-01
Ava Monpere,17,TikTok Star,22-01
Emilie Kiser,25,TikTok Star,22-01
Silentó,26,Rapper,22-01
Darianka Sánchez,22,Model,22-01
Ricky García,25,Pop Singer,22-01
Ali Saleh,24,Soccer Player,22-01
Netta Barzilai,31,World Music Singer,22-01
Ronnie Foden,5,Family Member,22-01
Ava Lewis,15,TikTok Star,22-01
Guy Fieri,56,Chef,22-01
Sebastian Benitez,14,YouTube Star,22-01
Pau Cubarsí Paredes,17,Soccer Player,22-01
Bunnie Xo,44,TikTok Star,22-01
Joehe,21,YouTube Star,22-01
Steve Perry,75,Rock Singer,22-01
Diane Lane,59,Movie Actress,22-01
Gabriel Macht,52,TV Actor,22-01
Ally Sheehan,30,YouTube Star,22-01
Aidan Baz,16,TikTok Star,22-01
A Pimp Named Sweet Tooth,35,Rapper,22-01
Richard Camacho,27,Pop Singer,22-01
julisavioli,22,TikTok Star,22-01
Bhuvan Bam,30,YouTube Star,22-01
Legit Tim,26,YouTube Star,22-01
Dillon Brooks,28,Basketball Player,22-01
Avangeline,17,TikTok Star,22-01
Jrizzy Jeremy,26,YouTube Star,22-01
Rachel Underhill,22,TikTok Star,22-01
Da'lane Jones,20,YouTube Star,22-01
Joe Serafini,26,TV Actor,22-01
Linda Blair,65,Movie Actress,22-01
Daniel Cooper,28,Model,22-01
Lee Seo-yeon,24,Pop Singer,22-01
Steven Adler,59,Drummer,22-01
Amanda Edmundsson,22,TikTok Star,22-01
David Clifford,25,Gaelic Football Player,22-01
pineapplebrat,26,Instagram Star,22-01
Charley Nash,15,TikTok Star,22-01
Milan Piqué Mebarak,11,Family Member,22-01
