Ime,Starost,Poklic,Rojstni dan
Maddie Ziegler,21,Movie Actress,30-11
Max Verstappen,26,Race Car Driver,30-11
Nisha Noelle,38,YouTube Star,30-11
Chantel Jeffries,31,DJ,30-11
T-Pain,39,R&B Singer,30-11
Blaster Silonga,24,Guitarist,30-11
Drew Dirksen,27,Guitarist,30-11
Steve Terreberry,36,YouTube Star,30-11
Monica Bellucci,59,Movie Actress,30-11
Trevi Moran,25,YouTube Star,30-11
Ki Hong Lee,37,TV Actor,30-11
Nathan Arenas,18,TV Actor,30-11
Hayden Jang,19,TikTok Star,30-11
Aly Jade,17,Instagram Star,30-11
Levi Miller,21,Movie Actor,30-11
Tito Jimenez,29,YouTube Star,30-11
Christopher Jackson,48,Stage Actor,30-11
Rylo Rodriguez,30,Rapper,30-11
Noel Deyzel,39,TikTok Star,30-11
Augusto Giménez,24,TikTok Star,30-11
Papa Bear Petty,3,Family Member,30-11
Lacey Chabert,41,Movie Actress,30-11
Inez Reynolds,7,Family Member,30-11
Trinity Jae,32,YouTube Star,30-11
Milad Mirg,24,TikTok Star,30-11
Kieran Culkin,41,Movie Actor,30-11
Talia Lewis-Cole,21,TikTok Star,30-11
Mike Sherm,27,Rapper,30-11
Bankrol Hayden,22,Rapper,30-11
Natalie Joy,20,TikTok Star,30-11
Olivier Giroud,37,Soccer Player,30-11
Tony Hale,53,TV Actor,30-11
Fresh Cut Slim,29,YouTube Star,30-11
Ten Yujin,26,TikTok Star,30-11
Adam McIntyre,21,YouTube Star,30-11
Beéle,21,Pop Singer,30-11
Nikkole Ledda,30,Reality Star,30-11
Flavia Saraiva,24,Gymnast,30-11
Landon Dickerson,25,Football Player,30-11
Carolina Kowanz,31,TikTok Star,30-11
Fran Drescher,66,TV Actress,30-11
Madi Bingham,21,YouTube Star,30-11
Oliver Svejstrup Brynnum,27,Instagram Star,30-11
Christian Pierce,32,YouTube Star,30-11
Papanomaly,59,Twitter Star,30-11
Madame Joyce,26,Radio Host,30-11
