Ime,Starost,Poklic
Playboi Carti,27,Rapper
Niall Horan,30,Pop Singer
Alanna Lisia Herbert,14,TikTok Star
Lili Reinhart,27,TV Actress
Tyler Perry,54,TV Producer
Corey Scherer,28,YouTube Star
5ddie,18,TikTok Star
Oblivious,23,Roblox Star
Yeonjun,24,Pop Singer
Nicky Champa,28,TikTok Star
Fiona Apple,46,Rock Singer
Ben Savage,43,TV Actor
Michael Hardy,33,Country Singer
Dave Mustaine,62,Metal Singer
Robbie Kay,28,TV Actor
ChyTheGreatest,23,Instagram Star
Thomas Müller,34,Soccer Player
Chris Hansen,64,Journalist
Risabae,35,YouTube Star
Shion Kaji,36,YouTube Star
Sir Carter,22,TikTok Star
Matt Petitto,21,TikTok Star
Hooodjabi,18,TikTok Star
Chloe Glass,24,YouTube Star
Brizzy Voices,32,YouTube Star
Bongbong Marcos,66,Politician
Safaa Malik,21,Instagram Star
Zubair Sarookh,28,Facebook Star
Gongsam Table,30,YouTube Star
Jenny Devil,27,YouTube Star
Taylor Nunez,21,Dancer
Justin Jang,20,TikTok Star
Zira Brown,24,TikTok Star
Swizz Beatz,45,Music Producer
Ben Skinner,30,YouTube Star
Stella McCartney,52,Fashion Designer
Snoh Aalegra,36,R&B Singer
Destiny Rogers,24,Pop Singer
Baron Corbin,39,Wrestler
Hannah Leigh,31,YouTube Star
Sungchan,22,Rapper
Meghan Roche,23,Model
Nick Andrew,28,YouTube Star
Alfie Turner,16,Family Member
