Ime,Starost,Poklic,Rojstni dan
Maddie Ziegler,21,Movie Actress,30-09
Max Verstappen,26,Race Car Driver,30-09
Nisha Noelle,38,YouTube Star,30-09
Chantel Jeffries,31,DJ,30-09
T-Pain,39,R&B Singer,30-09
Blaster Silonga,24,Guitarist,30-09
Drew Dirksen,27,Guitarist,30-09
Steve Terreberry,36,YouTube Star,30-09
Monica Bellucci,59,Movie Actress,30-09
Trevi Moran,25,YouTube Star,30-09
Ki Hong Lee,37,TV Actor,30-09
Nathan Arenas,18,TV Actor,30-09
Hayden Jang,19,TikTok Star,30-09
Aly Jade,17,Instagram Star,30-09
Levi Miller,21,Movie Actor,30-09
Tito Jimenez,29,YouTube Star,30-09
Christopher Jackson,48,Stage Actor,30-09
Rylo Rodriguez,30,Rapper,30-09
Noel Deyzel,39,TikTok Star,30-09
Augusto Giménez,24,TikTok Star,30-09
Papa Bear Petty,3,Family Member,30-09
Lacey Chabert,41,Movie Actress,30-09
Inez Reynolds,7,Family Member,30-09
Trinity Jae,32,YouTube Star,30-09
Milad Mirg,24,TikTok Star,30-09
Kieran Culkin,41,Movie Actor,30-09
Talia Lewis-Cole,21,TikTok Star,30-09
Mike Sherm,27,Rapper,30-09
Bankrol Hayden,22,Rapper,30-09
Natalie Joy,20,TikTok Star,30-09
Olivier Giroud,37,Soccer Player,30-09
Tony Hale,53,TV Actor,30-09
Fresh Cut Slim,29,YouTube Star,30-09
Ten Yujin,26,TikTok Star,30-09
Adam McIntyre,21,YouTube Star,30-09
Beéle,21,Pop Singer,30-09
Nikkole Ledda,30,Reality Star,30-09
Flavia Saraiva,24,Gymnast,30-09
Landon Dickerson,25,Football Player,30-09
Carolina Kowanz,31,TikTok Star,30-09
Fran Drescher,66,TV Actress,30-09
Madi Bingham,21,YouTube Star,30-09
Oliver Svejstrup Brynnum,27,Instagram Star,30-09
Christian Pierce,32,YouTube Star,30-09
Papanomaly,59,Twitter Star,30-09
Madame Joyce,26,Radio Host,30-09
