Ime,Starost,Poklic,Rojstni dan
Nidal Wonder,13,YouTube Star,21-12
Madelyn Cline,26,TV Actress,21-12
Mike Vitar,45,Movie Actor,21-12
Bridey Drake,23,TikTok Star,21-12
Mario Selman,24,Instagram Star,21-12
Samuel L. Jackson,75,Movie Actor,21-12
Nick Davis,21,TikTok Star,21-12
Raeupnow,19,Instagram Star,21-12
Cooper Flagg,17,Basketball Player,21-12
Steven Yeun,40,TV Actor,21-12
Gianluca Ficara,17,TikTok Star,21-12
Lexi Drew,20,Rapper,21-12
LAMINE,26,TikTok Star,21-12
NerdECrafter,37,YouTube Star,21-12
Miriam Mullins,28,TikTok Star,21-12
Jane Fonda,86,Movie Actress,21-12
Emmanuel Macron,46,World Leader,21-12
Quinta Brunson,34,TV Actress,21-12
Luke Singletary,18,TikTok Star,21-12
Kaitlyn Dever,27,TV Actress,21-12
Arasha Lalani,25,TV Actress,21-12
Sasha Domnikov,18,YouTube Star,21-12
Pedro Santos,22,TikTok Star,21-12
Mienique Avery,22,Instagram Star,21-12
Nikola Tsolov,17,Race Car Driver,21-12
Kiefer Sutherland,57,TV Actor,21-12
Chelsea Gomez,29,TikTok Star,21-12
Symfuhny,24,Twitch Star,21-12
Ducky Bhai,26,YouTube Star,21-12
Jooshica,28,TikTok Star,21-12
KairosTime,33,YouTube Star,21-12
Jinger Duggar,30,Reality Star,21-12
Tristan Valdez,21,TikTok Star,21-12
Chris Heria,32,YouTube Star,21-12
Max Clark,19,Baseball Player,21-12
Ray Romano,66,TV Actor,21-12
Sofia Lianna Salerno,18,TikTok Star,21-12
James Seo,26,TikTok Star,21-12
Kida,26,World Music Singer,21-12
Gabriely Miranda,23,Model,21-12
Mahira Khan,39,TV Actress,21-12
Dontai Leonard,24,TikTok Star,21-12
Ben Chilwell,27,Soccer Player,21-12
Taylor Louderman,33,Stage Actress,21-12
Ha Ha Davis,31,Instagram Star,21-12
xNestorio,25,YouTube Star,21-12
Tamannaah Bhatia,34,Movie Actress,21-12
