Ime,Starost,Poklic,Rojstni dan
Deja Clark,13,Instagram Star,15-12
Katie Fang,18,TikTok Star,15-12
Diezel Ortiz,12,Instagram Star,15-12
Joe Mele,25,TikTok Star,15-12
Sicily Rose,18,Pop Singer,15-12
Jeff Wittek,34,YouTube Star,15-12
Antonio Garza,21,YouTube Star,15-12
Ronnie Radke,40,Rock Singer,15-12
Cavetown,25,YouTube Star,15-12
Skyler Aboujaoude,18,TV Actress,15-12
Daniel Ezra,32,TV Actor,15-12
Adam Brody,44,TV Actor,15-12
Camilla Luddington,40,TV Actress,15-12
Maya Henry,23,Instagram Star,15-12
Maude Apatow,26,Movie Actress,15-12
Jesse Lingard,31,Soccer Player,15-12
Christian Isaiah,16,TV Actor,15-12
Alana Flores,23,TikTok Star,15-12
Justyn Ross,24,Football Player,15-12
Munera Ahmed,26,TikTok Star,15-12
XpertThief,32,YouTube Star,15-12
Lee Jung-jae,51,TV Actor,15-12
Sheaden Gabriel,20,Dancer,15-12
Charlie Cox,41,Movie Actor,15-12
Apryl Jones,37,Reality Star,15-12
Perri Kiely,28,TikTok Star,15-12
Slavik,25,Instagram Star,15-12
Aezah Brown,21,TikTok Star,15-12
Emilia Fart,34,YouTube Star,15-12
Honeybthatsme,25,TikTok Star,15-12
Esnyr Ranollo,22,TikTok Star,15-12
Don Johnson,74,TV Actor,15-12
Connor Edwards,20,TikTok Star,15-12
Lady Leshurr,36,Rapper,15-12
Ava Lawrence,17,TikTok Star,15-12
Erika Tham,24,TV Actress,15-12
Carmel Johnson,66,TV Actress,15-12
Shakedown2012,34,YouTube Star,15-12
Snejana Onopka,37,Model,15-12
Cameron Chapman,21,TV Actor,15-12
BoxBoy,24,Instagram Star,15-12
Luca Whitaker,22,YouTube Star,15-12
Miguel Angel Garcia,36,Boxer,15-12
Pragati Verma,22,YouTube Star,15-12
Kruzadar,26,Twitch Star,15-12
