Ime,Starost,Poklic,Rojstni dan
Nathan Doe,19,Instagram Star,09-08
Rydel Funk Lynch,30,Pop Singer,09-08
Anna Kendrick,38,Movie Actress,09-08
Armani Young,22,TikTok Star,09-08
Bill Skarsgård,33,Movie Actor,09-08
Grian,30,YouTube Star,09-08
Gina Lynn,17,TikTok Star,09-08
Jackson Klem,21,YouTube Star,09-08
Anwar Jibawi,32,YouTube Star,09-08
Alexa Bliss,32,Wrestler,09-08
Sommerset,20,Twitch Star,09-08
Mingi,24,Rapper,09-08
Jessica Capshaw,47,TV Actress,09-08
Ravon,24,YouTube Star,09-08
Deion Sanders,56,Football Player,09-08
Ashley Johnson,40,TV Actress,09-08
Roier,22,YouTube Star,09-08
Kazuha,20,Pop Singer,09-08
Adelaide Kane,33,TV Actress,09-08
Bryan Johnston,19,TikTok Star,09-08
Gillian Anderson,55,TV Actress,09-08
Kevin McKidd,50,TV Actor,09-08
Ja’ Siah Young,12,TV Actor,09-08
Mahesh Babu,48,Movie Actor,09-08
Jazzy Le,23,YouTube Star,09-08
Chelcie Lynn,36,YouTube Star,09-08
fWhip,29,YouTube Star,09-08
Glaze,18,TikTok Star,09-08
Tyler Koy,22,TikTok Star,09-08
Anti Da Menace,19,Rapper,09-08
Zachcray,21,YouTube Star,09-08
Hoda Kotb,59,TV Show Host,09-08
Justice Smith,28,TV Actor,09-08
Sam Elliott,79,Movie Actor,09-08
Brendan Ruh,31,Entrepreneur,09-08
Amira Shiwraj,19,TikTok Star,09-08
Badkidjerry,16,Instagram Star,09-08
Katelyn Dewitt,21,YouTube Star,09-08
Michael Kors,64,Fashion Designer,09-08
Nusret Gokce,40,Instagram Star,09-08
Summer Teale,19,YouTube Star,09-08
Speed Gang,30,Rapper,09-08
Bang Si-hyuk,51,Songwriter,09-08
Hunter Deno,28,TV Actress,09-08
Vivek Ramaswamy,38,Entrepreneur,09-08
