Ime,Starost,Poklic,Rojstni dan
Catherine Paiz,33,Instagram Star,24-08
Edwin Mendoza,23,TikTok Star,24-08
Rupert Grint,35,Movie Actor,24-08
Chad Michael Murray,42,TV Actor,24-08
Alyssa FamilyFunPack,17,YouTube Star,24-08
Alan Walker,26,DJ,24-08
Payton Stork,26,Instagram Star,24-08
Griffin Gluck,23,TV Actor,24-08
Sofia Richie,25,Instagram Star,24-08
Isabell Afro,24,TikTok Star,24-08
Pau Torres,21,YouTube Star,24-08
Armando Rubio,19,TikTok Star,24-08
Vince McMahon,78,Sports Executive,24-08
Jamie Rose,26,TikTok Star,24-08
Kelsey Plum,29,Basketball Player,24-08
Dave Chappelle,50,Comedian,24-08
Justine Skye,28,R&B Singer,24-08
Davi Lucca,12,Family Member,24-08
Nuni Dior,21,Instagram Star,24-08
Braydon Price,23,YouTube Star,24-08
John Green,46,Young Adult Author,24-08
Boyinaband,36,YouTube Star,24-08
Grant Horvat,25,TikTok Star,24-08
Jawbreaker Juice,20,YouTube Star,24-08
Grey DeLisle,50,Voice Actress,24-08
Annie Schroeter,20,Model,24-08
Danny Reyes,19,YouTube Star,24-08
Brianna Mazzola,23,Pop Singer,24-08
Huon Archer,22,YouTube Star,24-08
Tyler Schrage,24,TikTok Star,24-08
Alex O'Loughlin,47,TV Actor,24-08
Robin Packalen,25,Pop Singer,24-08
Dillon Newman,19,TikTok Star,24-08
Paige Zilba,30,TikTok Star,24-08
Madi Westbrooke,24,YouTube Star,24-08
Gabby Thomas,25,Model,24-08
Melody Anne Seña,23,TikTok Star,24-08
Stephen Fry,66,Movie Actor,24-08
Callum The Dragon,23,TikTok Star,24-08
captain capi,27,Roblox Star,24-08
Sauli Niinisto,75,Politician,24-08
Hideo Kojima,60,Game Designer,24-08
Reggie Miller,58,Basketball Player,24-08
Sina Deinert,25,Instagram Star,24-08
Eli Puckett,19,TikTok Star,24-08
Elizabeth Debicki,33,Movie Actress,24-08
