Ime,Starost,Poklic,Rojstni dan
Ariana Greenblatt,16,TV Actress,27-08
Rod Wave,24,Rapper,27-08
Zach Choi,37,YouTube Star,27-08
Akeila Collins,23,Roblox Star,27-08
Domelipa,22,TikTok Star,27-08
Tia Tia,25,Pop Singer,27-08
Levi Jed Murphy,27,TikTok Star,27-08
Alexander Stewart,24,Pop Singer,27-08
Kim Petras,31,Pop Singer,27-08
Tythedancer,9,Instagram Star,27-08
Aayu Kalra,10,YouTube Star,27-08
Aaron Paul,44,TV Actor,27-08
Alexa PenaVega,35,Movie Actress,27-08
Emirichu,28,YouTube Star,27-08
Mariah Amato,29,Instagram Star,27-08
Breanna Stewart,29,Basketball Player,27-08
Savannah James,37,Instagram Star,27-08
The Great Khali,51,Wrestler,27-08
Adam Met,33,Bassist,27-08
Patrick J. Adams,42,TV Actor,27-08
Mario Barrett,37,R&B Singer,27-08
Antfrost,25,Twitch Star,27-08
Chandra Wilson,54,TV Actress,27-08
Mase,48,Rapper,27-08
Blake Jenner,31,TV Actor,27-08
Mia Stephens,16,YouTube Star,27-08
Tom Ford,62,Fashion Designer,27-08
Lucas Paquetá,26,Soccer Player,27-08
Alexander Hosone Schlab,21,Model,27-08
JackBoy,26,Rapper,27-08
Prince Swanny,26,Rapper,27-08
Mark Webber,47,Race Car Driver,27-08
Jenna Ezarik,34,YouTube Star,27-08
Mike Smith,51,TV Actor,27-08
Maria Georgas,29,Instagram Star,27-08
Ycro,25,YouTube Star,27-08
Helen Christie,31,TikTok Star,27-08
Nadia Caterina Munno,37,TikTok Star,27-08
César Millán,54,Dog Trainer,27-08
Geoff Castellucci,43,Pop Singer,27-08
Sarah Chalke,47,TV Actress,27-08
Kory Little,22,TikTok Star,27-08
Brandey Bailey,36,YouTube Star,27-08
Laylah Melamed,20,TikTok Star,27-08
Raoul Joshua de Graaf,29,YouTube Star,27-08
Olivia Lee,46,Comedian,27-08
