Ime,Starost,Poklic,Rojstni dan
India Slayz,14,YouTube Star,17-12
Raena Triple Charm,18,Pop Singer,17-12
Josie Alesia,20,TikTok Star,17-12
Ian Jeffrey,22,Instagram Star,17-12
Sarah Paulson,49,TV Actress,17-12
LoadedJay,23,YouTube Star,17-12
Cora Tilley,19,TikTok Star,17-12
DaddyOFive,41,YouTube Star,17-12
Pope Francis,87,Religious Leader,17-12
Manu Ríos,25,Instagram Star,17-12
Jason Bravura,38,Instagram Star,17-12
Billy Wingrove,41,Soccer Player,17-12
Anix,19,YouTube Star,17-12
Andrew Burriss,21,YouTube Star,17-12
Yeri MUA,22,Instagram Star,17-12
Manny Pacquiao,45,Boxer,17-12
"James, Earl of Wessex",16,Prince,17-12
1avinaas,21,TikTok Star,17-12
Nat Wolff,29,Movie Actor,17-12
Arin Wested,18,YouTube Star,17-12
MegaMoeka,29,YouTube Star,17-12
Martin Ødegaard,25,Soccer Player,17-12
Carrie Berk,21,Children's Author,17-12
Izabela Rose,17,Movie Actress,17-12
Jacqueline Wilson,78,Children's Author,17-12
Young Nudy,31,Rapper,17-12
Milla Jovovich,48,Movie Actress,17-12
Ivorian Doll,26,Rapper,17-12
Jessi,35,Rapper,17-12
Elijah Elliott,20,TikTok Star,17-12
Bella Shepard,22,Movie Actress,17-12
Nicola Cavanis,25,Model,17-12
Alan Khan,52,Radio Host,17-12
Matthew Scarfone,23,TikTok Star,17-12
Duff Goldman,49,Chef,17-12
Nicholas Flannery,28,TikTok Star,17-12
Nikki Rodriguez,21,TV Actress,17-12
louieveegang,26,TikTok Star,17-12
Maria Brink,46,Metal Singer,17-12
HD,36,Rapper,17-12
Hector Diaz,21,TikTok Star,17-12
Eugene Levy,77,Movie Actor,17-12
Tom Walker,32,Rock Singer,17-12
Katheryn Winnick,46,TV Actress,17-12
John Abraham,51,Movie Actor,17-12
Karissa Duncan,24,Instagram Star,17-12
LivvyloveASMR,27,TikTok Star,17-12
