Ime,Starost,Poklic,Rojstni dan
Piper Rockelle,16,YouTube Star,21-08
Cole LaBrant,27,YouTube Star,21-08
Guava Juice,32,YouTube Star,21-08
Usain Bolt,37,Runner,21-08
Topper Guild,21,TikTok Star,21-08
Sadie Crowell,20,YouTube Star,21-08
Alex Cooper,29,Podcast Host,21-08
Spizee,19,YouTube Star,21-08
Robert Lewandowski,35,Soccer Player,21-08
Bo Burnham,33,Comedian,21-08
Jesse Rutherford,32,Pop Singer,21-08
Dallas Liu,22,TV Actor,21-08
Brody Jenner,40,Reality Star,21-08
Sophia Diamond,22,TikTok Star,21-08
Timmy Thick,21,Instagram Star,21-08
Angelina Jacob,23,Dancer,21-08
Hayden Panettiere,34,TV Actress,21-08
Kacey Musgraves,35,Country Singer,21-08
Ethan Fineshriber,19,Martial Artist,21-08
Aulluver Jacob Zackary Benet,22,TikTok Star,21-08
Tristan Tales,29,Snapchat Star,21-08
Joe Gorga,44,Reality Star,21-08
Josh Ovalle,25,Film Producer,21-08
Serj Tankian,56,Metal Singer,21-08
Ekin-Su Cülcüloğlu,29,Reality Star,21-08
Loretta Devine,74,Movie Actress,21-08
Jade Chynoweth,25,Instagram Star,21-08
Kelis,44,R&B Singer,21-08
Wootak Kim,28,TikTok Star,21-08
dimucc,21,YouTube Star,21-08
Molly Long,31,Choreographer,21-08
Zuckles,24,YouTube Star,21-08
Umar Johnson,49,Psychologist,21-08
Alaiya R’ria,9,Instagram Star,21-08
Agustin Fernandez,30,Instagram Star,21-08
Kim Cattrall,67,TV Actress,21-08
Parker Richardson,20,TikTok Star,21-08
Zachary Valentine,23,TikTok Star,21-08
Gabriele Greco,19,TikTok Star,21-08
Tarek El Moussa,42,Reality Star,21-08
Youssef Amyn,20,Soccer Player,21-08
Censor,29,eSports Player,21-08
Mike Evans,30,Football Player,21-08
Harriet Herbig-Matten,20,TV Actress,21-08
