Ime,Starost,Poklic,Rojstni dan
Dwayne Johnson,52,Movie Actor,02-05
Princess Charlotte of Wales,9,Princess,02-05
Julian Elchakieh,21,YouTube Star,02-05
David Beckham,49,Soccer Player,02-05
Noen Eubanks,23,TikTok Star,02-05
Peet Montzingo,34,TikTok Star,02-05
DcYoungFly,32,Rapper,02-05
H2ODelirious,37,YouTube Star,02-05
Zach Sang,31,Radio Host,02-05
Brendan Schroeder,12,Dancer,02-05
Mr. Nightmare,32,YouTube Star,02-05
Harris J,27,Pop Singer,02-05
Lily Allen,39,Pop Singer,02-05
BamBam,27,Rapper,02-05
Paul George,34,Basketball Player,02-05
Lilah Gibney,26,Instagram Star,02-05
Farruko,33,Reggaeton Singer,02-05
Donatella Versace,69,Fashion Designer,02-05
Aaron Melloul,22,Rapper,02-05
Olivia Attwood,33,Reality Star,02-05
Claudia Doumit,32,TV Actress,02-05
Pat McAfee,37,Football Player,02-05
Anthony Jones,27,TikTok Star,02-05
Sunmi,32,Pop Singer,02-05
Bowie Talbott,4,Family Member,02-05
Hollie Bennett,37,YouTube Star,02-05
Parker James,23,TikTok Star,02-05
Mon Laferte,41,Rock Singer,02-05
Aaron May,23,Rapper,02-05
Kyle Busch,39,Race Car Driver,02-05
Ellie Kemper,44,TV Actress,02-05
Mia Melano,24,TikTok Star,02-05
Betsy McCredie,16,TV Actress,02-05
Parlo,19,YouTube Star,02-05
Desiré Inglander,23,Model,02-05
Angel Rivas,28,TikTok Star,02-05
Lucy Dacus,29,Folk Singer,02-05
MVPerry,22,YouTube Star,02-05
Sam Tsui,35,YouTube Star,02-05
Christine Baranski,72,Movie Actress,02-05
Phil Soda,28,TikTok Star,02-05
Soda Pets,23,YouTube Star,02-05
Mateo Moy,11,Instagram Star,02-05
Engelbert Humperdinck,88,Pop Singer,02-05
Dadju,33,R&B Singer,02-05
Maria Lopez Garcia,25,YouTube Star,02-05
Tyler Tarabocchia,23,TikTok Star,02-05
