Ime,Starost,Poklic,Rojstni dan
Sadie Sink,22,TV Actress,16-04
Kayson Myler,10,YouTube Star,16-04
Anya Taylor-Joy,28,Movie Actress,16-04
Martin Lawrence,59,Movie Actor,16-04
Chance The Rapper,31,Rapper,16-04
Akon,51,R&B Singer,16-04
Max Dressler,22,TikTok Star,16-04
Kareem Abdul-Jabbar,77,Basketball Player,16-04
Cameron Kennedy,26,Podcast Host,16-04
600Breezy,33,Rapper,16-04
Dakota Blackburn,30,Family Member,16-04
Nate Diaz,39,MMA Fighter,16-04
Nicroveda,26,YouTube Star,16-04
Jon Cryer,59,TV Actor,16-04
Kirsten Dodgen,26,Dancer,16-04
Bill Belichick,72,Football Coach,16-04
Gretchen Weiss,11,YouTube Star,16-04
Tyler Shaheen,28,TikTok Star,16-04
Bosnov,22,TikTok Star,16-04
Challan Trishann,26,TikTok Star,16-04
nickisnotgreen,25,YouTube Star,16-04
Brandon Cardoso,24,TikTok Star,16-04
LoneE,20,YouTube Star,16-04
Ivan Del Aguila,23,TikTok Star,16-04
Heaven Marina,25,Rapper,16-04
megagonefree,23,TikTok Star,16-04
Ashly Schwan,27,Instagram Star,16-04
CrayCrayJay,23,YouTube Star,16-04
Flats,28,Twitch Star,16-04
Sevda Cataltas,35,TikTok Star,16-04
Katia Castellano,22,Instagram Star,16-04
Brynn Cartelli,21,Pop Singer,16-04
Ramon Guzman,31,YouTube Star,16-04
Sam Hyde,29,YouTube Star,16-04
Emiliano Vargas,20,Family Member,16-04
Liliana Mumy,30,Movie Actress,16-04
Tom Broders,27,Golfer,16-04
Queen Margrethe II,84,Queen,16-04
Poppy Lee Friar,29,TV Actress,16-04
Jennifer Aydin,47,Reality Star,16-04
Gina Carano,42,Movie Actress,16-04
Darrell Jones,24,TikTok Star,16-04
Dr Miami,52,Snapchat Star,16-04
Artistgary,30,TikTok Star,16-04
Vickie Guerrero,56,Wrestler,16-04
Finlay MacMillan,28,TV Actor,16-04
