Ime,Starost,Poklic,Rojstni dan
Anna McNulty,22,TikTok Star,26-04
Channing Tatum,44,Movie Actor,26-04
Gio Cascaes,18,TikTok Star,26-04
Melania Trump,54,First Lady,26-04
Payton Yeager,14,YouTube Star,26-04
Bakary Sako,36,Soccer Player,26-04
Aaron Judge,32,Baseball Player,26-04
Paige Niemann,20,TikTok Star,26-04
Tom Welling,47,TV Actor,26-04
Jason Earles,47,TV Actor,26-04
Kevin James,59,Movie Actor,26-04
London Shumway,13,YouTube Star,26-04
BambinoBecky,26,YouTube Star,26-04
Marko Terzo,22,YouTube Star,26-04
Ryan Cummings,20,Cheerleader,26-04
Kane,57,Wrestler,26-04
Kelsey Lynn Cook,21,Dancer,26-04
Kamila Valieva,18,Figure Skater,26-04
Theskimaskbarbie,21,YouTube Star,26-04
Sean Evans,38,YouTube Star,26-04
Carol Burnett,91,TV Show Host,26-04
Jordana Brewster,44,Movie Actress,26-04
Daniel Padilla,29,TV Actor,26-04
Kennedy Grace,28,Instagram Star,26-04
Giancarlo Esposito,66,Movie Actor,26-04
Armand de Lambilly,20,Instagram Star,26-04
CJ Donaldson,28,YouTube Star,26-04
Rocky Yarbrough,23,TikTok Star,26-04
Colin Borden,39,TV Actor,26-04
Hannah Strumner,22,Country Singer,26-04
Lydia Violeta,23,YouTube Star,26-04
Jet Li,61,Movie Actor,26-04
Jon Cozart,32,YouTube Star,26-04
Raiven,28,Pop Singer,26-04
Simply Liv,20,YouTube Star,26-04
Keara Graves,25,TV Actress,26-04
Stana Katic,46,TV Actress,26-04
Gardianhasani,21,TikTok Star,26-04
Scott Timlin,36,Reality Star,26-04
Swealife,27,YouTube Star,26-04
Tionne Watkins,54,R&B Singer,26-04
Ben Roth,25,YouTube Star,26-04
Riley Voelkel,34,TV Actress,26-04
Alex Fitzalan,28,TV Actor,26-04
Alex Sarr,19,Basketball Player,26-04
Sunnie Dyer,17,Family Member,26-04
anxvids,21,TikTok Star,26-04
