Ime,Starost,Poklic,Rojstni dan
Bryce Hall,24,TikTok Star,14-08
Ray William Johnson,42,YouTube Star,14-08
Mila Kunis,40,Movie Actress,14-08
Jack Manifold,21,Twitch Star,14-08
Marsai Martin,19,TV Actress,14-08
Kalynn Koury,23,YouTube Star,14-08
Halle Berry,57,Movie Actress,14-08
RowdyRogan,9,YouTube Star,14-08
HueningKai,21,Pop Singer,14-08
Maya Jama,29,TV Show Host,14-08
Magic Johnson,64,Basketball Player,14-08
Kayla Sims,24,YouTube Star,14-08
NightFoxx,36,Roblox Star,14-08
Olivia Sui,30,YouTube Star,14-08
Astrid Wett,23,TikTok Star,14-08
Rora,15,Pop Singer,14-08
Steve Martin,78,Movie Actor,14-08
Kate Ritchie,45,Soap Opera Actress,14-08
Doechii,25,Rapper,14-08
Kofi Kingston,42,Wrestler,14-08
Miranda Rae Mayo,33,TV Actress,14-08
Tim Tebow,36,Football Player,14-08
Austin Porter,26,Pop Singer,14-08
LaTreese Atkins,26,TikTok Star,14-08
Chris Perez,54,Guitarist,14-08
Itsjustnyissa,23,TikTok Star,14-08
Audrey Victoria,30,YouTube Star,14-08
Aliyah Moulden,22,Pop Singer,14-08
Poppy Mead,21,TikTok Star,14-08
GingerPale,26,YouTube Star,14-08
Princess Love,39,Reality Star,14-08
Amanda Todhunter,20,YouTube Star,14-08
Andrew Scites,32,YouTube Star,14-08
Johnny Gargano,36,Wrestler,14-08
Brianna Hildebrand,27,Movie Actress,14-08
MiawAug,35,YouTube Star,14-08
Paige Turley,26,Reality Star,14-08
Jonny Benitez,28,TikTok Star,14-08
Ayden Damis,9,YouTube Star,14-08
Model Roz,34,Instagram Star,14-08
James Buckley,36,TV Actor,14-08
Terin Joseph,21,Instagram Star,14-08
Davidson Petit-Frère,34,Fashion Designer,14-08
Jay-Jay Okocha,50,Soccer Player,14-08
Jackee Harry,67,TV Actress,14-08
Annamarie Forcino,25,YouTube Star,14-08
Izaiah Parks,21,TikTok Star,14-08
Dilinca,19,YouTube Star,14-08
