Ime,Starost,Poklic,Rojstni dan
Aya Tanjali,17,TikTok Star,24-04
Joe Keery,32,TV Actor,24-04
Kehlani,29,R&B Singer,24-04
ksosolid,22,TikTok Star,24-04
Aydah Vlach,16,YouTube Star,24-04
Kelly Clarkson,42,Pop Singer,24-04
Jordan Fisher,30,TV Actor,24-04
Thomas Sanders,35,YouTube Star,24-04
Caspar Lee,30,YouTube Star,24-04
Ashe,31,Pop Singer,24-04
Monaleo,23,Rapper,24-04
CouRage,30,Sportscaster,24-04
Kellin Quinn,38,Rock Singer,24-04
Kenzie Lynn,22,TikTok Star,24-04
Jack Quaid,32,Movie Actor,24-04
Winter Blanco,31,Reality Star,24-04
Skylar Simone,22,Pop Singer,24-04
Barbra Streisand,82,Pop Singer,24-04
Millie B,24,Rapper,24-04
Tori Vasquez,26,YouTube Star,24-04
Aly Sloan,17,TikTok Star,24-04
lilversachi,23,TikTok Star,24-04
Leah Messer,32,Reality Star,24-04
Ryan Whitney Newman,26,Movie Actress,24-04
TheGrefg,27,YouTube Star,24-04
Sachin Tendulkar,51,Cricketer,24-04
Varun Dhawan,37,Movie Actor,24-04
Carly Pearce,34,Country Singer,24-04
Jean Paul Gaultier,72,Fashion Designer,24-04
Cedric the Entertainer,60,Movie Actor,24-04
Aiden Mesa,18,TikTok Star,24-04
Sebin,28,Rapper,24-04
Solomia Lukyanets,23,Opera Singer,24-04
Phil Robertson,78,Reality Star,24-04
Alli Simpson,26,Pop Singer,24-04
Chipper Jones,52,Baseball Player,24-04
azra_lifts,25,TikTok Star,24-04
Jackson O'Doherty,30,Facebook Star,24-04
Kiana Davis,24,TikTok Star,24-04
Alexis Smith,20,YouTube Star,24-04
Haley Gutierrez,24,TikTok Star,24-04
Joel Orb,33,Twitch Star,24-04
Lia Jakubowski,20,TikTok Star,24-04
Melina KB,22,Pop Singer,24-04
Hannah Elise,25,YouTube Star,24-04
Travis Clark,39,Rock Singer,24-04
Elom Kuwonu,21,Rapper,24-04
Rebecca Mader,47,TV Actress,24-04
