Ime,Starost,Poklic,Rojstni dan
Patrick Mahomes,28,Football Player,17-09
Mia Talerico,15,TV Actress,17-09
Alfie Deyes,30,YouTube Star,17-09
Nadine Breaty,25,TikTok Star,17-09
Bailey Nelson,20,TikTok Star,17-09
Brody Schaffer,8,YouTube Star,17-09
Bobby Lee,52,TV Actor,17-09
Raven Elyse,30,YouTube Star,17-09
Mena Massoud,32,Movie Actor,17-09
Narendra Modi,73,Politician,17-09
Ella Purnell,27,Movie Actress,17-09
Mason Patterson,21,TikTok Star,17-09
Mirah,49,Songwriter,17-09
SunnyV2,27,YouTube Star,17-09
Auston Matthews,26,Hockey Player,17-09
ArrDee,21,Rapper,17-09
Eli Ellis,18,TikTok Star,17-09
Scott Hoying,32,Pop Singer,17-09
Esteban Ocon,27,Race Car Driver,17-09
Charles Martinet,68,Voice Actor,17-09
Jordan Connor,32,TV Actor,17-09
Salina Sunshine,1,TikTok Star,17-09
Lil Kayla,29,Rapper,17-09
SlimeLifeJay,23,TikTok Star,17-09
Alex Ovechkin,38,Hockey Player,17-09
Nick Smithyman,27,TikTok Star,17-09
Andrew East,32,Football Player,17-09
Samantha Jo Schreiber,25,YouTube Star,17-09
Josh Pieters,30,YouTube Star,17-09
Slayyyter,27,Pop Singer,17-09
Jennifer Williams,49,Reality Star,17-09
Danielle Brooks,34,TV Actress,17-09
Mia Diaz,22,Instagram Star,17-09
Kevin Hodge,48,YouTube Star,17-09
Joe Bastianich,55,TV Show Host,17-09
Tyler James Nolan,27,TikTok Star,17-09
Jett Ashford,22,TikTok Star,17-09
Matthew Dean Burdette,31,Rapper,17-09
India Amarteifio,22,TV Actress,17-09
Tim Burton,36,YouTube Star,17-09
Ritu Arya,35,TV Actress,17-09
Benji Green,22,TikTok Star,17-09
Kyle Chandler,58,TV Actor,17-09
Chizzy2Dizzy,19,TikTok Star,17-09
Anastacia,55,Pop Singer,17-09
