Ime,Starost,Poklic,Rojstni dan
Yana Chirkina,14,Instagram Star,14-04
Chris Wood,36,TV Actor,14-04
Abby Franke,17,YouTube Star,14-04
Ioanna Chirkina,14,Instagram Star,14-04
Talia Scott,33,TikTok Star,14-04
Sarah Michelle Gellar,47,TV Actress,14-04
Brady Potter,24,Instagram Star,14-04
Abigail Breslin,28,Movie Actress,14-04
TWD98,30,YouTube Star,14-04
Tzuyang,27,YouTube Star,14-04
Da Brat,50,Rapper,14-04
cjya,24,YouTube Star,14-04
PrinceZam,20,YouTube Star,14-04
MakeupByPita,27,YouTube Star,14-04
BeastyMan,20,YouTube Star,14-04
Adrien Brody,51,Movie Actor,14-04
Ryanwitdasauce,23,YouTube Star,14-04
Kylie Dennison,29,YouTube Star,14-04
Peter Capaldi,66,TV Actor,14-04
Teige,18,TikTok Star,14-04
Josephine Skriver,31,Model,14-04
Lydia Elise Millen,36,YouTube Star,14-04
Baker Mayfield,29,Football Player,14-04
Dafina Zeqiri,35,Pop Singer,14-04
Whitney Way Thore,40,Reality Star,14-04
Graham Phillips,31,Movie Actor,14-04
Wethan,20,YouTube Star,14-04
Lakko,31,YouTube Star,14-04
Luna Stephens,8,Family Member,14-04
Amy Dumas,49,Wrestler,14-04
Stomedy,35,YouTube Star,14-04
Javon Manners,22,TikTok Star,14-04
Ellington Ratliff,31,Drummer,14-04
Olivia Wisler,19,TikTok Star,14-04
Gio Galicia,21,Movie Actor,14-04
Paige McKenzie,29,YouTube Star,14-04
Kayla Williams,42,Reality Star,14-04
Willy William,43,DJ,14-04
Jalen Williams,23,Basketball Player,14-04
Yung Fazo,19,R&B Singer,14-04
SmoothMadnezz,29,YouTube Star,14-04
Sacred,18,YouTube Star,14-04
Hannah Lee Duggan,30,YouTube Star,14-04
Anthony Michael Hall,56,Movie Actor,14-04
Skyler Samuels,30,TV Actress,14-04
Robert Carlyle,63,Movie Actor,14-04
