Ime,Starost,Poklic,Rojstni dan
Chunkz,28,YouTube Star,21-02
Lauren Godwin,24,TikTok Star,21-02
realskybri,25,TikTok Star,21-02
Elliot Page,37,Movie Actor,21-02
Sophie Turner,28,TV Actress,21-02
Marcus Gunnarsen,22,Pop Singer,21-02
libertyz_,24,TikTok Star,21-02
Joe Alwyn,33,Movie Actor,21-02
Martinus Gunnarsen,22,Pop Singer,21-02
Kate Steinberg,32,TikTok Star,21-02
Grace Hunter,27,TikTok Star,21-02
Liam Miller,21,TikTok Star,21-02
Jennifer Love Hewitt,45,Movie Actress,21-02
Corbin Bleu,35,Movie Actor,21-02
Blanket Jackson,22,Family Member,21-02
Giveon,29,R&B Singer,21-02
Rain Spencer,24,TV Actress,21-02
Jagger Eaton,23,Skateboarder,21-02
charlieonnafriday,21,Rapper,21-02
Anne Wilson,22,Country Singer,21-02
Ashley Greene,37,Movie Actress,21-02
Timmy Hicks,15,TikTok Star,21-02
Jordan Peele,45,Comedian,21-02
Parkenharbor,24,Twitch Star,21-02
Wendy,30,Pop Singer,21-02
Hayley Orrantia,30,TV Actress,21-02
Solar,33,Pop Singer,21-02
laserluca,28,YouTube Star,21-02
Dylan Anderson,30,YouTube Star,21-02
Mark Kelly,60,Politician,21-02
Kumail Nanjiani,46,Comedian,21-02
juuqttv,20,TikTok Star,21-02
Duwap Kaine,22,Rapper,21-02
Makenzie Raine,19,Instagram Star,21-02
Riyad Mahrez,33,Soccer Player,21-02
Michael McIntyre,48,Comedian,21-02
Leeseo,17,Pop Singer,21-02
Fabrizio Romano,31,Journalist,21-02
Jonathan Cheban,50,Entrepreneur,21-02
Carlito,45,Wrestler,21-02
Ava Ryan,14,Instagram Star,21-02
Harald V of Norway,87,King,21-02
Win Metawin Opas-iamkajorn,25,TV Actor,21-02
