Ime,Starost,Poklic,Rojstni dan
Erling Haaland,24,Soccer Player,21-07
c4pr1i,17,TikTok Star,21-07
Romeo Santos,43,World Music Singer,21-07
Maggie Lindemann,26,Pop Singer,21-07
Kaylee Halko,21,Instagram Star,21-07
Endrick Felipe,18,Soccer Player,21-07
Noor Dabash,21,TikTok Star,21-07
Josh Hartnett,46,Movie Actor,21-07
Wisp,25,YouTube Star,21-07
Jasmine Cephas Jones,35,Stage Actress,21-07
Choi Jisu,24,Pop Singer,21-07
Paloma Faith,43,Soul Singer,21-07
Hannah Lowery,18,TikTok Star,21-07
Rory Culkin,35,Movie Actor,21-07
Sara Sampaio,33,Model,21-07
Kevin Burgess,36,Rapper,21-07
Chrishell Stause,43,Soap Opera Actress,21-07
Yolanda Gampp,47,YouTube Star,21-07
Diane Guerrero,38,TV Actress,21-07
King Roscoe,21,Rapper,21-07
Edwin Castro,33,Twitch Star,21-07
Ana Natalia,28,TikTok Star,21-07
Clyde Lawrence,30,Pop Singer,21-07
Alexis Rose,18,Instagram Star,21-07
Kyle Hanagami,38,Choreographer,21-07
Jessica Barden,32,TV Actress,21-07
Larissa Cambusano,29,TikTok Star,21-07
Jeff Fatt,71,Pop Singer,21-07
Sofia Franklyn,32,Radio Host,21-07
Damian Marley,46,Reggae Singer,21-07
Tewtiy,26,YouTube Star,21-07
Scarce,27,YouTube Star,21-07
Filip Dejanovic,25,YouTube Star,21-07
David Dastmalchian,47,Movie Actor,21-07
Kalia,30,TikTok Star,21-07
Paulina Char,29,Instagram Star,21-07
Maya Leinenbach,20,Instagram Star,21-07
Juno Temple,35,Movie Actress,21-07
D’Vontay Friga,26,YouTube Star,21-07
Tutweezy,30,Instagram Star,21-07
Aminematue,30,Twitter Star,21-07
Katie Tyson,30,Instagram Star,21-07
TwiistedPandora,29,Roblox Star,21-07
Cat Stevens,76,Folk Singer,21-07
