Ime,Starost,Poklic,Rojstni dan
Ryan Trahan,25,YouTube Star,07-10
Simon Cowell,64,Talent Manager,07-10
LDShadowLady,31,YouTube Star,07-10
Kira Kosarin,26,TV Actress,07-10
Vladimir Putin,71,World Leader,07-10
Jazmine Hood,27,YouTube Star,07-10
Bennett Melt,23,YouTube Star,07-10
Trent Alexander-Arnold,25,Soccer Player,07-10
Lewis Capaldi,27,Pop Singer,07-10
Trinity Beyond,11,YouTube Star,07-10
Alesha Dixon,45,Rapper,07-10
Julia Poe Petersen,20,TikTok Star,07-10
Jayllnn,25,YouTube Star,07-10
Holland Roden,37,TV Actress,07-10
Toni Braxton,56,R&B Singer,07-10
Xiaoleung,23,Roblox Star,07-10
Mookie Betts,31,Baseball Player,07-10
Celia Reina,21,TikTok Star,07-10
Thom Yorke,55,Rock Singer,07-10
Arianna Felber,19,TikTok Star,07-10
Jason Eadie,37,TikTok Star,07-10
Katie Angel,31,YouTube Star,07-10
Shawn Ashmore,44,Movie Actor,07-10
dawsonish,24,TikTok Star,07-10
Allison Munn,49,TV Actress,07-10
Andy Hearnden,38,TikTok Star,07-10
John Mellencamp,72,Rock Singer,07-10
Maria Machado,56,Politician,07-10
Josh Levi,25,Pop Singer,07-10
Marlin Ramsey Chan,30,YouTube Star,07-10
Cole Skory,25,YouTube Star,07-10
Victoria Fuller,29,Reality Star,07-10
Owen Lynch,21,TikTok Star,07-10
Lay,32,Instagram Star,07-10
Diego Costa,35,Soccer Player,07-10
Celeste Beryl Bonin,37,Wrestler,07-10
Yo-Yo Ma,68,Cellist,07-10
Aaron Ashmore,44,TV Actor,07-10
Rumble Honey Smith,3,Family Member,07-10
Lulu Wilson,18,Movie Actress,07-10
Krissy Cela,29,Instagram Star,07-10
Miquel Melero,20,TikTok Star,07-10
Sofia Skalkosova,16,Instagram Star,07-10
TuxBird,24,YouTube Star,07-10
Slade Pearce,28,TV Actor,07-10
OOfro,26,YouTube Star,07-10
Call of Kidd,19,YouTube Star,07-10
