Ime,Starost,Poklic,Rojstni dan
Barack Obama,63,US President,04-08
Cole Sprouse,32,TV Actor,04-08
Jessika the Prankster,21,TikTok Star,04-08
Dylan Sprouse,32,TV Actor,04-08
Lil Skies,26,Rapper,04-08
Meghan Markle,43,Duchess,04-08
Lottie Tomlinson,26,Instagram Star,04-08
Kira Girard,43,Reality Star,04-08
Bruna Marquezine,29,TV Actress,04-08
makayladid,25,TikTok Star,04-08
Bobby Shmurda,30,Rapper,04-08
Nabela Noor,33,YouTube Star,04-08
Natalie Biden,20,Family Member,04-08
Tessa Bear,24,TikTok Star,04-08
Gala Montes,24,TV Actress,04-08
Amber Rose Gill,27,Reality Star,04-08
Nathaniel Buzolic,41,TV Actor,04-08
Greta Gerwig,41,Movie Actress,04-08
Sweetie Mary Funk,2,Family Member,04-08
Tinsley Price,12,TV Actress,04-08
Jackie Aina,37,YouTube Star,04-08
Jessica Mauboy,35,R&B Singer,04-08
Billy Bob Thornton,69,Movie Actor,04-08
Dasgasdom3,22,YouTube Star,04-08
Olivia Deeble,22,TV Actress,04-08
Caroline Konstnar,21,YouTube Star,04-08
Britney Morrow,31,YouTube Star,04-08
Ashley Watson,32,TikTok Star,04-08
Daniel Dae Kim,56,TV Actor,04-08
Surthany Hejeij,32,TikTok Star,04-08
Gabbie Carter,24,Instagram Star,04-08
Meghan Rienks,31,TV Actress,04-08
Alicia Jade,21,TikTok Star,04-08
Rich Dollaz,49,Entrepreneur,04-08
Marques Houston,43,Rapper,04-08
Chet Hanks,34,Family Member,04-08
Anushka Sen,22,TV Actress,04-08
Lee Mack,56,Comedian,04-08
André Lamoglia,27,TV Actor,04-08
Jeff Gordon,53,Race Car Driver,04-08
Jaylon Kelley,25,TikTok Star,04-08
Anniston Price,12,TV Actress,04-08
Steph Thomas,26,YouTube Star,04-08
Kendahl Landreth,25,TikTok Star,04-08
