Ime,Starost,Poklic,Rojstni dan
BossMan Dlow,25,Rapper,31-08
Won-young Jang,19,Pop Singer,31-08
Charles Brockman III,24,TikTok Star,31-08
Navey McBride,3,YouTube Star,31-08
Malinda Panton,35,YouTube Star,31-08
Ashton Chavis,23,TikTok Star,31-08
Jason Maybaum,16,TV Actor,31-08
Badkid Aaron,15,Instagram Star,31-08
Lael Hansen,26,YouTube Star,31-08
Chris Tucker,52,Movie Actor,31-08
Pepe Reina,41,Soccer Player,31-08
Jaylen Barron,25,TV Actress,31-08
Brittany Mahomes,28,Instagram Star,31-08
Jeff Hardy,46,Wrestler,31-08
Piculincito,8,YouTube Star,31-08
Freya Nightingale,30,Instagram Star,31-08
Sara Ramirez,48,Movie Actress,31-08
Joe Budden,43,Clubhouse Star,31-08
Jalen Brunson,27,Basketball Player,31-08
Chloe Ferry,28,Reality Star,31-08
Nia Ivy,19,TikTok Star,31-08
AuzioMF,24,YouTube Star,31-08
Richard Gere,74,Movie Actor,31-08
Megan Stitz,24,YouTube Star,31-08
Chanderland,23,TikTok Star,31-08
Justice McCort,21,Dancer,31-08
Mohammad bin Salman,38,Prince,31-08
Taylor Skeens,30,YouTube Star,31-08
Intak,20,Rapper,31-08
Ahmad Gardner,23,Football Player,31-08
Yael Shelbia,22,Model,31-08
Mickie James,44,Wrestler,31-08
Ana Sofía,25,Instagram Star,31-08
Spencer Sutherland,31,Pop Singer,31-08
Dee Bradley Baker,61,Voice Actor,31-08
Skaiwater,23,Rapper,31-08
Debbie Gibson,53,Pop Singer,31-08
Vanna M. Pareja,28,YouTube Star,31-08
Chanel Jabro,27,Instagram Star,31-08
Queen Rania of Jordan,53,Queen,31-08
Dreka Gates,37,Instagram Star,31-08
Thalia Bree,24,Instagram Star,31-08
Neeraj Sharma,25,Instagram Star,31-08
Athena,35,Wrestler,31-08
Lira Mercer,30,Instagram Star,31-08
Knarfy,24,YouTube Star,31-08
Ryan Kelley,37,TV Actor,31-08
Sarah Jones,38,Drummer,31-08
