Ime,Starost,Poklic,Rojstni dan
Abby Lee Miller,58,Reality Star,21-09
Jason Derulo,34,Pop Singer,21-09
Ella Caroline,19,Roblox Star,21-09
Reese LeRoy,14,YouTube Star,21-09
Ingrid Andress,32,Country Singer,21-09
Kanel Joseph,23,YouTube Star,21-09
Maya Winky ASMR,19,YouTube Star,21-09
Stephen King,76,Novelist,21-09
Liam Gallagher,51,Rock Singer,21-09
Ryan Guzman,36,Movie Actor,21-09
Lindsey Stirling,37,Violinist,21-09
Lizzy McAlpine,24,Pop Singer,21-09
Bill Murray,73,Movie Actor,21-09
CinnamonToastKen,38,YouTube Star,21-09
Tom MacDonald,35,Rapper,21-09
Momma Dee,60,Reality Star,21-09
Lana Rose,34,Instagram Star,21-09
Jena Frumes,30,Instagram Star,21-09
Kareena Kapoor,43,Movie Actress,21-09
threedotcorey,22,TikTok Star,21-09
Cory Hunter-Winn,23,TikTok Star,21-09
Dave Coulier,64,TV Actor,21-09
Katie McCabe,28,Soccer Player,21-09
CaRtOoNz,41,YouTube Star,21-09
Alfonso Ribeiro,52,TV Actor,21-09
Nicole Richie,42,Reality Star,21-09
Faith Hill,56,Country Singer,21-09
Elsy Guevara,27,Instagram Star,21-09
Unique Daily,42,YouTube Star,21-09
Jillian Babyteeth4,18,YouTube Star,21-09
Loren Asad,24,Instagram Star,21-09
Wale,39,Rapper,21-09
Kristine Froseth,27,Model,21-09
Sammy Furrha,28,TikTok Star,21-09
Lil Rob,48,Rapper,21-09
Henry Gallagher,21,Pop Singer,21-09
Christian Serratos,33,TV Actress,21-09
3FS,18,YouTube Star,21-09
Janiphoria,22,YouTube Star,21-09
E.dot,27,Instagram Star,21-09
Emma Watkins,34,Dancer,21-09
Joe Mazzello,40,Movie Actor,21-09
Parvati Shallow,41,Reality Star,21-09
Luke Wilson,52,Movie Actor,21-09
DC Herbo,26,Instagram Star,21-09
Joe Wicks,38,Instagram Star,21-09
Jordyn Horstman,20,TikTok Star,21-09
