Ime,Starost,Poklic,Rojstni dan
Ryan Reynolds,47,Movie Actor,23-10
Belle Delphine,24,YouTube Star,23-10
Arii,23,Instagram Star,23-10
VMT,18,YouTube Star,23-10
Ur Mom Ashley,24,YouTube Star,23-10
Weird Al Yankovic,64,Pop Singer,23-10
Emilia Clarke,37,TV Actress,23-10
ProjectSupreme,23,Roblox Star,23-10
Amandla Stenberg,25,Movie Actor,23-10
Aleyah Ausbie,14,TikTok Star,23-10
AsianJeff,18,Twitch Star,23-10
Kane Atwood,12,Family Member,23-10
Ningning,21,Pop Singer,23-10
Jorge Soto,22,TikTok Star,23-10
Miguel,38,R&B Singer,23-10
Álvaro Morata,31,Soccer Player,23-10
Nick Bosa,26,Football Player,23-10
LaVar Ball,56,Entrepreneur,23-10
Margaret Qualley,29,TV Actress,23-10
Alexandra Leona Bryant,15,Model,23-10
Alessio Scalzotto,21,Movie Actor,23-10
Miranda Mason,22,TikTok Star,23-10
Jerry Heil,28,YouTube Star,23-10
Carmella,36,Wrestler,23-10
Jada Wesley,22,TikTok Star,23-10
Robert Trujillo,59,Bassist,23-10
Sofia Crnilovic,20,TikTok Star,23-10
Trill Jimi,21,TikTok Star,23-10
Sr Pelo,31,YouTube Star,23-10
Minnie,26,Pop Singer,23-10
Sam Andrews,22,TikTok Star,23-10
Roni Back,30,YouTube Star,23-10
Sofya Plotnikova,21,YouTube Star,23-10
Georgia Toffolo,29,Reality Star,23-10
Abella Lili Valdes,5,YouTube Star,23-10
Zach Callison,26,Voice Actor,23-10
Amelia Monet,23,Instagram Star,23-10
Just Juice,29,R&B Singer,23-10
Ashley Griggs,35,TikTok Star,23-10
Prabhas,44,Movie Actor,23-10
Martin Luther King III,66,Civil Rights Leader,23-10
ECCO2K,29,World Music Singer,23-10
Xaviersobased,20,Rapper,23-10
Ireland Baldwin,28,Model,23-10
Asahd Khaled,7,Instagram Star,23-10
Stan Walker,33,Pop Singer,23-10
