Ime,Starost,Poklic,Rojstni dan
Infinite,26,YouTube Star,18-08
Andy Samberg,45,TV Actor,18-08
Madelaine Petsch,29,TV Actress,18-08
Louie Castro,24,YouTube Star,18-08
Clairo,25,Pop Singer,18-08
Maia Mitchell,30,TV Actress,18-08
Summer McIntosh,17,Swimmer,18-08
Andrea Carmona,24,Instagram Star,18-08
LeafyIsHere,28,YouTube Star,18-08
Brady Hepner,18,Movie Actor,18-08
FishyBlox,27,Roblox Star,18-08
Josephine Langford,26,Movie Actress,18-08
Chad Alan,39,YouTube Star,18-08
Noahfinnce,24,Pop Singer,18-08
G Dragon,35,Rapper,18-08
Jackie Figueroa,27,Instagram Star,18-08
Christian Slater,54,Movie Actor,18-08
James Ewens,22,TikTok Star,18-08
sunshinejazzy17,21,TikTok Star,18-08
Emma Langevin,24,Twitch Star,18-08
Roberto Laija,26,Music Producer,18-08
Reagan To,12,Voice Actress,18-08
Edward Norton,54,Movie Actor,18-08
flexddup,25,YouTube Star,18-08
OussiFooty,23,TikTok Star,18-08
Andrea Arru,16,TikTok Star,18-08
Yseult,29,Pop Singer,18-08
Frances Bean Cobain,31,Instagram Star,18-08
Jaykindafunny,22,TikTok Star,18-08
Huw Edwards,62,Journalist,18-08
SuchSpeed,25,YouTube Star,18-08
ImranSAVAGE,20,YouTube Star,18-08
Uh.idk.uh,20,TikTok Star,18-08
SurFaceldn,26,TikTok Star,18-08
Gianni Molfese,8,YouTube Star,18-08
Sajid Hassan,22,TikTok Star,18-08
Max Charles,20,Movie Actor,18-08
Stacey Ryan,23,TikTok Star,18-08
Anna Akana,34,YouTube Star,18-08
Zoraida Jazmine,17,TikTok Star,18-08
Robert Redford,87,Movie Actor,18-08
Ikue Otani,58,Voice Actress,18-08
Asian Andy,29,YouTube Star,18-08
Matthew Taylor,22,Instagram Star,18-08
Samantha Grecchi,29,Dancer,18-08
Parker-McKenna Posey,28,TV Actress,18-08
