Ime,Starost,Poklic,Rojstni dan
LeBron James,39,Basketball Player,30-12
Brady Noon,18,TV Actor,30-12
Kim Taehyung,28,Pop Singer,30-12
Dominic Fike,28,Pop Singer,30-12
Devin Paul,23,YouTube Star,30-12
Bugha,21,Twitch Star,30-12
Ellie Goulding,37,Pop Singer,30-12
Tiger Woods,48,Golfer,30-12
Nardo Wick,22,Rapper,30-12
Ollie Watkins,28,Soccer Player,30-12
Sabrina Costello,21,TikTok Star,30-12
Lexi Hidalgo,23,TikTok Star,30-12
Denny Love,31,TV Actor,30-12
MeatCanyon,30,YouTube Star,30-12
Joyceful Tingles,26,TikTok Star,30-12
Connor Noon,18,TV Actor,30-12
Trevor Wallace,31,Comedian,30-12
Kylin Milan,18,Instagram Star,30-12
Tyrese Gibson,45,R&B Singer,30-12
Dawko,28,YouTube Star,30-12
Kaylen Violett Jones,17,TikTok Star,30-12
310babii,18,Rapper,30-12
ItsJustNick,24,YouTube Star,30-12
Mackenzie Davis,21,YouTube Star,30-12
Laila Ali,46,Boxer,30-12
Joshua Hong,28,Pop Singer,30-12
Ella Moncrief,19,TikTok Star,30-12
Tracey Ullman,64,Comedian,30-12
Kelli Finglass,58,Cheerleader,30-12
Julia Rose,30,Reality Star,30-12
Bianca Ingrosso,29,Blogger,30-12
Michael Justin,47,TikTok Star,30-12
Ryleigh Vertes,28,Instagram Star,30-12
Vivian Watson,16,TV Actress,30-12
Jutta Leerdam,25,Speedskater,30-12
Kaylia Nemour,17,Gymnast,30-12
Kristina Alice,26,Instagram Star,30-12
Andra Day,39,Pop Singer,30-12
Caity Lotz,37,TV Actress,30-12
Carson Wentz,31,Football Player,30-12
Justin Combs,30,Instagram Star,30-12
Yelawolf,44,Rapper,30-12
Jeffo Roblox,34,YouTube Star,30-12
Audrey Lane-Partlow,20,TikTok Star,30-12
Dilara Özcan,28,Instagram Star,30-12
Sheryl Lee Ralph,67,TV Actress,30-12
Patti Smith,77,Punk Singer,30-12
Michael Eric Reid,31,TV Actor,30-12
