Ime,Starost,Poklic,Rojstni dan
Kai Cenat,22,Twitch Star,16-12
Alix Earle,23,TikTok Star,16-12
Grayson Dolan,24,YouTube Star,16-12
Ethan Dolan,24,YouTube Star,16-12
Theo James,39,Movie Actor,16-12
Zara Larsson,26,Pop Singer,16-12
Berleezy,31,YouTube Star,16-12
Reese Zilmer,17,TikTok Star,16-12
Dakota Lotus,19,TV Actor,16-12
Kiara Muhammad,25,TV Actress,16-12
Jyoti Amge,30,TV Actress,16-12
Noticuz,24,YouTube Star,16-12
Shawn Davis,50,YouTube Star,16-12
Cazzu,30,Rapper,16-12
McNasty,31,YouTube Star,16-12
Lisa Gaming ROBLOX,18,YouTube Star,16-12
Radion,23,TikTok Star,16-12
James Reynolds,9,Family Member,16-12
Sebastian Croft,22,TV Actor,16-12
Holly Scarfone,25,Reality Star,16-12
Ka$hdami,19,Rapper,16-12
Alana Kern,17,Instagram Star,16-12
Xeno Carr,27,Music Producer,16-12
Mis Pastelitos,32,YouTube Star,16-12
Benjamin Bratt,60,TV Actor,16-12
$not,26,Rapper,16-12
Daniel Preda,31,Instagram Star,16-12
Krysten Ritter,42,TV Actress,16-12
Nya Lee,32,Reality Star,16-12
Adam Ray,28,YouTube Star,16-12
Ilya Selyn,28,TikTok Star,16-12
Morgan-Rose Moroney,27,Instagram Star,16-12
Rich Paul,42,Business Executive,16-12
Park Seo-joon,35,TV Actor,16-12
Stephanie Valentine,32,TikTok Star,16-12
Vincent Cyr,34,Twitch Star,16-12
Anna Popplewell,35,Movie Actress,16-12
Lance Lim,23,TV Actor,16-12
cKev 2,19,Roblox Star,16-12
Mike Trollinski,25,YouTube Star,16-12
Jalyn Michelle,26,YouTube Star,16-12
Elianna Lara,7,Family Member,16-12
Owen Vaccaro,18,Movie Actor,16-12
Forsen,33,Twitch Star,16-12
