Ime,Starost,Poklic,Rojstni dan
Patrick Donley,16,TikTok Star,28-05
Phil Foden,24,Soccer Player,28-05
Roman Atwood,41,YouTube Star,28-05
Elle McBroom,8,YouTube Star,28-05
Diana Belitskaya,27,TikTok Star,28-05
Jordi iAmJordi,21,TikTok Star,28-05
Alec Benjamin,30,Pop Singer,28-05
Emma Brooks McAllister,22,TikTok Star,28-05
Seth Rollins,38,Wrestler,28-05
Dez Machado,20,YouTube Star,28-05
Kylie Minogue,56,Pop Singer,28-05
Kyle Walker,34,Soccer Player,28-05
Dahyun,26,Pop Singer,28-05
Little T,21,Rapper,28-05
Jesse Eckley,24,Twitch Star,28-05
YTB Fatt,23,Rapper,28-05
Ally Lotti,31,Instagram Star,28-05
Nova,24,Rapper,28-05
Mimi Drabik,23,YouTube Star,28-05
John Stones,30,Soccer Player,28-05
Maisie Peters,24,Pop Singer,28-05
RaZorBehavior,29,Instagram Star,28-05
Ali Koca,29,YouTube Star,28-05
Michael Oher,38,Football Player,28-05
Eyedress,34,Punk Singer,28-05
Chanse McCrary,26,YouTube Star,28-05
Ice Brady,20,Basketball Player,28-05
Da’Qwan Thompson,22,TikTok Star,28-05
Lukas Gage,29,TV Actor,28-05
TaigaHolic,55,YouTube Star,28-05
Pasha Pashkov,38,Dancer,28-05
whoisreddd,20,TikTok Star,28-05
Colbie Caillat,39,Pop Singer,28-05
Gladys Knight,80,Soul Singer,28-05
Madi Mae,31,Instagram Star,28-05
simplykamarea,20,TikTok Star,28-05
Caroline Sartorius,27,Instagram Star,28-05
Jake Johnson,46,TV Actor,28-05
Sean O'Donnell,29,Instagram Star,28-05
Jep Robertson,46,Reality Star,28-05
Daniel Veda,23,Pop Singer,28-05
tr3ywavy,24,TikTok Star,28-05
Camila Andrea,26,Instagram Star,28-05
Madison Grace,28,Instagram Star,28-05
Jakerton,29,YouTube Star,28-05
Sophia Havertz,24,Instagram Star,28-05
