Ime,Starost,Poklic
Shakira,47,Pop Singer
Dantes,22,Twitch Star
Tyler Brown,22,TikTok Star
Chad Franke,19,YouTube Star
Fabio Capri,21,TikTok Star
Aire Webster,2,Family Member
Kchaze,31,Instagram Star
Paul Mescal,28,TV Actor
Fabio Guerra,22,Pop Singer
Tom Blyth,29,Movie Actor
That Mexican OT,25,Rapper
Andrea Subotic,25,TikTok Star
Ryan Roy,31,Rapper
Julia Fox,34,Movie Actress
Soni Nicole Bringas,22,TV Actress
Tracy Sohn,21,YouTube Star
Preston Oliver,18,TV Actor
Florence Hunt,17,TV Actress
Mimi Locks,16,YouTube Star
Gerard Piqué,37,Soccer Player
Puffer Fish,26,YouTube Star
Chris Bumstead,29,Instagram Star
TommyNFG,21,YouTube Star
Binks So Famous,26,YouTube Star
Spencer Elmer,24,YouTube Star
Aiden Belter,20,TikTok Star
Dylan Chapman,17,TikTok Star
Sam Collins,28,YouTube Star
Ingrid Nilsen,35,YouTube Star
Milania Giudice,18,Family Member
Inoxtag,22,YouTube Star
Rachel Muse Connealy,29,TikTok Star
Morgan Jay,37,Pop Singer
P.O,31,Rapper
Judy Travis,38,YouTube Star
Sherin's Beauty,20,YouTube Star
Caeli,34,YouTube Star
Red Choi,28,TikTok Star
Remi Wolf,28,Pop Singer
Alyzzahh,21,TikTok Star
Duane Chapman,71,Reality Star
Alba Dubai,24,TikTok Star
Jontavian Barber,25,YouTube Star
OMB Peezy,27,Rapper
Jake Taylor,31,Instagram Star
Southside,35,Music Producer
