Ime,Starost,Poklic,Rojstni dan
Olivia Rodrigo,21,Pop Singer,20-02
Rihanna,36,Pop Singer,20-02
Aiesys Mial,21,TikTok Star,20-02
Luh Tyler,18,Rapper,20-02
Elmo O'Dwyer,24,TikTok Star,20-02
Princess Leonore,10,Princess,20-02
celinaspookyboo,29,TikTok Star,20-02
Jared McCain,20,Basketball Player,20-02
Miles Teller,37,Movie Actor,20-02
Camryn Turner,23,YouTube Star,20-02
Cruz Beckham,19,Instagram Star,20-02
Maggie Teh,16,TikTok Star,20-02
Cindy Crawford,58,Model,20-02
Jake Warden,22,YouTube Star,20-02
Gabe De Guzman,23,Instagram Star,20-02
Chico Bean,37,Comedian,20-02
Amara Cordova,19,TikTok Star,20-02
Trevor Noah,40,Comedian,20-02
Whataboutpadfoot,24,Cosplayer,20-02
William Gao,21,TV Actor,20-02
Charles Barkley,61,Basketball Player,20-02
Jayden Clark,22,TikTok Star,20-02
Stacy Toys,10,YouTube Star,20-02
Eric Booker,55,YouTube Star,20-02
ExplodingTNT,27,YouTube Star,20-02
Jay Hayden,37,TV Actor,20-02
Chelsea Peretti,46,Comedian,20-02
Tracy Spiridakos,36,TV Actress,20-02
Lizbeth Castañeda,24,YouTube Star,20-02
Otakoyakisoba,33,TikTok Star,20-02
Lilla Crawford,23,Movie Actress,20-02
Oanh Moon Nguyen,33,TikTok Star,20-02
Abraham Quintanilla Jr.,85,Family Member,20-02
Anja Blagojevic,24,Instagram Star,20-02
OnlyC,26,Music Producer,20-02
Ian Brown,61,Rock Singer,20-02
Brian Littrell,49,Pop Singer,20-02
Mitch McConnell,82,Politician,20-02
J Lou,28,Facebook Star,20-02
AJ3Fifa,31,YouTube Star,20-02
Jay Hernandez,46,Movie Actor,20-02
Skye Wheatley,30,Reality Star,20-02
