Ime,Starost,Poklic,Rojstni dan
Sabre Norris,19,YouTube Star,03-01
Vy Qwaint,38,YouTube Star,03-01
Jisoo,29,Pop Singer,03-01
Raegan Revord,16,TV Actress,03-01
Zeddywill,22,TikTok Star,03-01
Runik,26,Instagram Star,03-01
David Daly,21,TikTok Star,03-01
Florence Pugh,28,Movie Actress,03-01
Vincent Ton,27,TikTok Star,03-01
Greta Thunberg,21,Activist,03-01
Emiru,26,Twitch Star,03-01
Lincoln Markham,18,YouTube Star,03-01
Iman Gadzhi,24,Entrepreneur,03-01
Brianni Walker,17,TV Actress,03-01
Michael Schumacher,55,Race Car Driver,03-01
Mel Gibson,68,Movie Actor,03-01
Mimi Faust,52,Reality Star,03-01
George Janko,31,YouTube Star,03-01
Katie McGrath,41,TV Actress,03-01
Frimzy,26,TikTok Star,03-01
Tess Krauser,23,TikTok Star,03-01
Eli Manning,43,Football Player,03-01
Nick Daicos,21,Australian Rules Footballer,03-01
Lloyd Polite,38,R&B Singer,03-01
Erick Brian Colón,23,Pop Singer,03-01
Paddy Pimblett,29,MMA Fighter,03-01
CJ,27,Rapper,03-01
Les Do Makeup,30,Instagram Star,03-01
Chandler Alexis,27,YouTube Star,03-01
N&A Productions,23,YouTube Star,03-01
John Paul Jones,78,Bassist,03-01
Urban Sy,17,YouTube Star,03-01
Dawood Savage,26,YouTube Star,03-01
Yurielkys Ojeda,20,TikTok Star,03-01
Darius Rusnack,22,TikTok Star,03-01
nourxturki,24,Instagram Star,03-01
Olivia Buckland,30,Reality Star,03-01
The Card Guy,25,TikTok Star,03-01
kingofjuco,35,TikTok Star,03-01
Tamia M. Whittaker,25,Instagram Star,03-01
Kiwiz,27,YouTube Star,03-01
Jordan Palani,22,TikTok Star,03-01
Neul Sajang,31,Model,03-01
Kyle Rittenhouse,21,Ni poklica,03-01
Trixie Hyde,17,TV Actress,03-01
Holly Auna,31,Songwriter,03-01
Danica McKellar,49,TV Actress,03-01
