Ime,Starost,Poklic,Rojstni dan
Jay-Z,54,Rapper,04-12
Jin,31,Pop Singer,04-12
Cash Nasty,33,YouTube Star,04-12
JellyRoll,39,Country Singer,04-12
Mia Fizz,19,YouTube Star,04-12
Scarlett Estevez,16,Movie Actress,04-12
Analeigha Nguyen,16,YouTube Star,04-12
DKTHEMENACE,20,TikTok Star,04-12
Tyra Banks,50,TV Show Host,04-12
Tina Tsakonas,39,TikTok Star,04-12
Rebecca Parham,36,YouTube Star,04-12
Mark Ambor,23,Songwriter,04-12
Orlando Brown,36,TV Actor,04-12
Juliet Siegel,21,TikTok Star,04-12
Layton Greene,25,R&B Singer,04-12
Daniela Alfaro,24,YouTube Star,04-12
Marisa Tomei,59,Movie Actress,04-12
Stephen James Hendry,33,Model,04-12
Aaliyah Marais,22,TikTok Star,04-12
Brett Barrett,27,YouTube Star,04-12
Millie Court,27,Reality Star,04-12
BigJigglyPanda,33,YouTube Star,04-12
Jackson Holliday,20,Baseball Player,04-12
Ronnie Ortiz-Magro,38,Reality Star,04-12
Damian Kater,21,TikTok Star,04-12
Jeff Bridges,74,Movie Actor,04-12
Dina Asher-Smith,28,Runner,04-12
Ellie Hiyar,20,Instagram Star,04-12
Max Holloway,32,MMA Fighter,04-12
Grent Perez,22,YouTube Star,04-12
Zelly Dugan,29,Model,04-12
Josh Killacky,28,Instagram Star,04-12
Matt Peterson,27,TikTok Star,04-12
Fred Armisen,57,Comedian,04-12
Haley Sullivan,19,Pop Singer,04-12
Davoo Xeneize,21,TikTok Star,04-12
Leah Gotti,27,Instagram Star,04-12
Angel Rice,25,Cheerleader,04-12
Mary LifeWithBrothers,18,YouTube Star,04-12
khrisssy_,22,TikTok Star,04-12
Leticia Shirakiin,23,YouTube Star,04-12
Iviona Hatch,22,Instagram Star,04-12
Masicka,30,DJ,04-12
Ryan Esling,20,TikTok Star,04-12
Tiakola,23,Rapper,04-12
Gabbie Kelley,27,TikTok Star,04-12
Nick Vujicic,41,Religious Leader,04-12
Paulino Razo Padilla,20,TikTok Star,04-12
