Ime,Starost,Poklic,Rojstni dan
Sketch,26,YouTube Star,29-04
Xochitl Gomez,18,TV Actress,29-04
SMii7Y,27,YouTube Star,29-04
Uma Thurman,54,Movie Actress,29-04
Nova Grace Prince,5,Instagram Star,29-04
Candace Owens,35,YouTube Star,29-04
Kathleen Hixson,24,TikTok Star,29-04
Katherine Langford,28,TV Actress,29-04
Willie Nelson,91,Country Singer,29-04
Libby Ann,27,TikTok Star,29-04
Jerry Seinfeld,70,Comedian,29-04
Sofía de Borbón,17,Princess,29-04
Bailey Payne,28,Gymnast,29-04
Master P,54,Rapper,29-04
Bandi,26,YouTube Star,29-04
Justin Flom,38,YouTube Star,29-04
Michelle Pfeiffer,66,Movie Actress,29-04
BrittanyPlays,33,YouTube Star,29-04
Gracie Mae,17,TikTok Star,29-04
Mallory Pugh,26,Soccer Player,29-04
Andrew Alexander,20,YouTube Star,29-04
Rose Ruland,25,TikTok Star,29-04
Jaythan Bosch,22,TikTok Star,29-04
Zoran Korach,38,TV Actor,29-04
DAgames,32,YouTube Star,29-04
iMAV3RIQ,34,YouTube Star,29-04
Berkeley Gerth,25,Dancer,29-04
LGND,35,TikTok Star,29-04
Mikaela Long,30,YouTube Star,29-04
Chris Daniels,21,TikTok Star,29-04
Shark Puppet,20,YouTube Star,29-04
Zoe Hague,28,Family Member,29-04
Hunter Crist,27,TikTok Star,29-04
Nicki Valentina Rose,33,Model,29-04
Alma Zarza,13,Pop Singer,29-04
Brianna Leah,21,Pop Singer,29-04
Daniel Day-Lewis,67,Movie Actor,29-04
Erica Campbell,52,Gospel Singer,29-04
Gunner Gomez,28,YouTube Star,29-04
Foxes,35,Pop Singer,29-04
Meish Moe,22,TikTok Star,29-04
Alicia Morton,37,Movie Actress,29-04
Ella Hunt,26,Movie Actress,29-04
