Ime,Starost,Poklic
Madison Chrostek,12,YouTube Star
Daddy Yankee,47,Reggaeton Singer
Sean Kingston,34,R&B Singer
Taylor Caniff,28,Instagram Star
Alex G,31,Composer
India Love,28,Blogger
Canyon Tannerites,9,YouTube Star
Lauren Riboldi,32,Instagram Star
Isla Fisher,48,Movie Actress
Chantelle Paige,36,Pop Singer
Jack Frankmore,17,TikTok Star
Nikki D'Alessandro,21,TikTok Star
Luis Coronel,28,World Music Singer
Vanesa González,37,Movie Actress
Warwick Davis,54,Movie Actor
Anaya Perry,24,Instagram Star
Hira Faisal,27,TikTok Star
Farah Shams,24,TikTok Star
Brooke-Madison Thames,18,TikTok Star
Moritz Hau,26,Model
Marjan Tabibzada,27,Instagram Star
Aimee Lou Wood,30,TV Actress
Kellen Goff,29,Voice Actor
Bobizard,37,YouTube Star
Helen Anderson,33,YouTube Star
Jordan Frye,33,YouTube Star
Bridget Regan,42,TV Actress
Presley Walker,21,TikTok Star
Charlie Curnow,27,Australian Rules Footballer
Jeffrey Ridgway Jr.,35,YouTube Star
Nathan Lane,68,Stage Actor
Mister Max,13,YouTube Star
Amal Clooney,46,Lawyer
Elvana Gjata,37,Pop Singer
Brooke Kier,22,Instagram Star
Ehiz,25,TikTok Star
Griffin Mark,21,TikTok Star
Lil Richye,19,Rapper
K0urtneyy_,21,TikTok Star
wespnalim,18,TikTok Star
Kelley Lorraine,29,TikTok Star
Bryony-Jasmine Ludlow,19,Instagram Star
Allisa Rose,26,YouTube Star
Andrew Form,55,Film Producer
Niko Terho,28,TV Actor
Kelly Sullivan,46,TV Actress
Radu Drăgușin,22,Soccer Player
