Ime,Starost,Poklic,Rojstni dan
Cristiano Ronaldo,39,Soccer Player,05-02
Neymar,32,Soccer Player,05-02
llxllie,17,YouTube Star,05-02
Kevin Gates,38,Rapper,05-02
Jeremy Fragrance,35,YouTube Star,05-02
Nick Crompton,29,Entrepreneur,05-02
Bobby Brown,55,R&B Singer,05-02
Nils Kuesel,24,TikTok Star,05-02
Luke Newton,31,TV Actor,05-02
Kevin Perry,23,TikTok Star,05-02
Darren Criss,37,TV Actor,05-02
Jeremy Sumpter,35,TV Actor,05-02
Alex Brightman,37,Stage Actor,05-02
Jisung,22,Rapper,05-02
Angela Chalet,24,TikTok Star,05-02
Taehyun,22,Pop Singer,05-02
Alison Hammond,49,Reality Star,05-02
Flossie Clegg,23,YouTube Star,05-02
Davis Cleveland,22,TV Actor,05-02
Sidney Starr,35,Reality Star,05-02
Michael Sheen,55,Movie Actor,05-02
Kim Min-ju,23,Pop Singer,05-02
Moonfallx,23,Roblox Star,05-02
Tiwa Savage,44,R&B Singer,05-02
Matt Watson,28,YouTube Star,05-02
Christen Dominique,37,YouTube Star,05-02
Cesar Martinez,21,TikTok Star,05-02
Duff McKagan,60,Bassist,05-02
Steven Suptic,31,YouTube Star,05-02
Henry Golding,37,Movie Actor,05-02
Lil Macks,22,Rapper,05-02
Queen Mary of Denmark,52,Queen,05-02
Luna Fulgencio,13,TV Actress,05-02
Jalen Parker,20,TikTok Star,05-02
SnaggyMo,22,YouTube Star,05-02
Andy Cowley,33,Voice Actor,05-02
Ken Matthees,29,YouTube Star,05-02
Sara Evans,53,Country Singer,05-02
Gheorghe Hagi,59,Soccer Player,05-02
Hunter Dillon,22,TV Actor,05-02
Hannah Herrmann,22,YouTube Star,05-02
Fabio Farati,28,TikTok Star,05-02
Baby K,41,Rapper,05-02
Carlos Tévez,40,Soccer Player,05-02
Kristi Tu,31,YouTube Star,05-02
