Ime,Starost,Poklic,Rojstni dan
Selena Gomez,32,Pop Singer,22-07
Larray,26,YouTube Star,22-07
Javon Walton,18,TV Actor,22-07
Prince George of Wales,11,Prince,22-07
LittyB,18,YouTube Star,22-07
Jaden Walton,18,TikTok Star,22-07
Emanuella Samuel,14,Instagram Star,22-07
Milada Kovar,15,YouTube Star,22-07
Madison Pettis,26,Movie Actress,22-07
Jonathan Owens,29,Football Player,22-07
Krew Bingham,14,YouTube Star,22-07
AJ Cook,46,TV Actress,22-07
Shawn Michaels,59,Wrestler,22-07
Marc Cucurella,26,Soccer Player,22-07
Nikki Lilly,20,YouTube Star,22-07
Lizzy Wurst,26,Instagram Star,22-07
David Spade,60,TV Actor,22-07
Willem Dafoe,69,Movie Actor,22-07
Keegan Allen,35,TV Actor,22-07
Jordan Boulet-Viau,27,TikTok Star,22-07
Pedro Tovar,22,Pop Singer,22-07
Ezekiel Elliott,29,Football Player,22-07
Toni Fowler,27,Instagram Star,22-07
Fede Valverde,26,Soccer Player,22-07
Emma MacDonald,23,YouTube Star,22-07
Monica Geldart,26,TikTok Star,22-07
Hannah Mae Dugmore,22,TikTok Star,22-07
Jaz Sinclair,30,Movie Actress,22-07
thistrippyhippie,24,TikTok Star,22-07
Bre-z,37,Rapper,22-07
Javon Kendrick,24,TikTok Star,22-07
Keith Sweat,63,R&B Singer,22-07
Israel Adesanya,35,MMA Fighter,22-07
Dan Woolley,21,TikTok Star,22-07
Amina Rashid,20,TikTok Star,22-07
Laura Clery,38,Facebook Star,22-07
Audrey Hope,21,Movie Actress,22-07
DeeBaby,28,Rapper,22-07
Alisha Newton,23,TV Actress,22-07
S.E. Hinton,76,Young Adult Author,22-07
John Leguizamo,64,Movie Actor,22-07
Shannon Taylor,27,YouTube Star,22-07
Skyler Gisondo,28,TV Actor,22-07
Danny Glover,78,Movie Actor,22-07
Israel Johnson,19,TV Actor,22-07
Savannah Pettit,16,YouTube Star,22-07
