Ime,Starost,Poklic,Rojstni dan
Kamala Harris,59,Vice President,20-10
NBA YoungBoy,24,Rapper,20-10
Snoop Dogg,52,Rapper,20-10
Blesiv,22,TikTok Star,20-10
Paige Bueckers,22,Basketball Player,20-10
William Zabka,58,Movie Actor,20-10
Bryce Parker,21,TikTok Star,20-10
Vallyk,20,TikTok Star,20-10
John Krasinski,44,TV Actor,20-10
Matt Steffanina,37,Choreographer,20-10
Cam Holmes,27,Reality Star,20-10
Jess Glynne,34,Pop Singer,20-10
Candice Swanepoel,35,Model,20-10
Kim Ji-woo,24,Pop Singer,20-10
Ethan Miller,10,YouTube Star,20-10
Anastasia Russo,12,TV Actress,20-10
Cyn Santana,31,Instagram Star,20-10
Audrey Nethery,15,YouTube Star,20-10
A$AP Ferg,35,Rapper,20-10
Viggo Mortensen,65,Movie Actor,20-10
David Maluco,19,TikTok Star,20-10
Danny Mota,39,Photographer,20-10
_lilg4,20,TikTok Star,20-10
Dayshawn Dougherty,14,TikTok Star,20-10
Everleigh Isabella Dawn,6,YouTube Star,20-10
Mackie Albertson,26,TikTok Star,20-10
Brennan Clost,29,Dancer,20-10
Ronnie Banks,26,Instagram Star,20-10
Leehan,19,Pop Singer,20-10
Zack Treharne,28,YouTube Star,20-10
Tio Nestor,19,TikTok Star,20-10
Asante Blackk,22,TV Actor,20-10
Nija Charles,26,Pop Singer,20-10
Dannii Minogue,52,Pop Singer,20-10
Jett Newman,8,Instagram Star,20-10
Sidearms4reason,26,YouTube Star,20-10
Kenneth Choi,52,TV Actor,20-10
Sydel Curry,29,Instagram Star,20-10
Mizzy,19,TikTok Star,20-10
Rakiyah Lang,18,TikTok Star,20-10
Matthew Kim,31,Rapper,20-10
Jennifer Freeman,38,TV Actress,20-10
Andy Dawson,45,Soccer Player,20-10
