Ime,Starost,Poklic,Rojstni dan
Savannah LaBrant,31,YouTube Star,02-03
Jack Hartmann,74,Pop Singer,02-03
Jezelle Catherine,22,TikTok Star,02-03
Becky G,27,Pop Singer,02-03
Luke Combs,34,Country Singer,02-03
Jon Bon Jovi,62,Rock Singer,02-03
Chris Martin,47,Pop Singer,02-03
Nikkie De Jager,30,YouTube Star,02-03
Rebel Wilson,44,Movie Actress,02-03
Joe Weller,28,YouTube Star,02-03
Darryl Mayes,27,TikTok Star,02-03
James Arthur,36,Pop Singer,02-03
Giovanna Ramos,24,Model,02-03
Colin Myers,20,TikTok Star,02-03
Sunny Malouf,20,Pop Singer,02-03
Daniel Craig,56,Movie Actor,02-03
Cailee Rae,24,Pop Singer,02-03
Tua Tagovailoa,26,Football Player,02-03
Method Man,53,Rapper,02-03
Bryce Dallas Howard,43,Movie Actress,02-03
Veronica Dunne,29,TV Actress,02-03
Ryan Herron,20,Pop Singer,02-03
Avery Anna,20,TikTok Star,02-03
Tiger Shroff,34,Movie Actor,02-03
Chelsea Crockett,26,YouTube Star,02-03
tnickelsstv,21,TikTok Star,02-03
Anthony Albanese,61,Politician,02-03
Brazile Marie,14,Instagram Star,02-03
Lexee Smith,23,Instagram Star,02-03
Ben Roethlisberger,42,Football Player,02-03
Wonbin,22,Pop Singer,02-03
Milan Mirabella,21,TikTok Star,02-03
Isiah Pacheco,25,Football Player,02-03
JMX,26,YouTube Star,02-03
Mist,31,Rapper,02-03
Anna Dyu,18,TikTok Star,02-03
ok4eii,18,TikTok Star,02-03
Paola Lct,20,YouTube Star,02-03
Reggie Bush,39,Football Player,02-03
Fresa Malakian,39,Instagram Star,02-03
Janhvi Kapoor,27,Movie Actress,02-03
Hillary Hindi,34,YouTube Star,02-03
Reubz4k,22,YouTube Star,02-03
