Ime,Starost,Poklic,Rojstni dan
Gavin Magnus,17,Pop Singer,26-03
Paige Taylor,20,TikTok Star,26-03
Ella Anderson,19,TV Actress,26-03
Jenn Carter,21,Rapper,26-03
Diana Ross,80,Soul Singer,26-03
Ibai Llanos,29,Sportscaster,26-03
Keira Knightley,39,Movie Actress,26-03
JStar Balla,34,Rapper,26-03
Jonathan Groff,39,Stage Actor,26-03
Joe Anderson,42,Movie Actor,26-03
Bhad Bhabie,21,Rapper,26-03
Kenny Chesney,56,Country Singer,26-03
Steven Tyler,76,Rock Singer,26-03
Nancy Pelosi,84,Politician,26-03
Victoria Pfeifer,27,TikTok Star,26-03
Nina Agdal,32,Model,26-03
T.R. Knight,51,TV Actor,26-03
Kathryn Bernardo,28,TV Actress,26-03
Jay Sean,43,R&B Singer,26-03
Sam Pepper,35,YouTube Star,26-03
Martin Short,74,Movie Actor,26-03
Gabriella Gonzalez,21,TikTok Star,26-03
Brittney Wilson,33,TV Actress,26-03
Trulyboyjojo,22,TikTok Star,26-03
Sam Kelly,22,TikTok Star,26-03
Eric Allan Kramer,62,TV Actor,26-03
Lucas Graham,23,TikTok Star,26-03
Lily Huynh,26,TikTok Star,26-03
Leslie Mann,52,Movie Actress,26-03
Lilliana Bowrey,19,Surfer,26-03
Ari Lennox,33,R&B Singer,26-03
Heiress Diana Harris,8,Family Member,26-03
bobbyblandino,23,TikTok Star,26-03
Gabrielle Anderson,31,Movie Actress,26-03
Paige Spiranac,31,Instagram Star,26-03
Dylan Ratzlaff,23,Dancer,26-03
Sarahli Hadjih,24,TikTok Star,26-03
Sophia Woodward,20,TV Actress,26-03
John Stockton,62,Basketball Player,26-03
Jennifer Grey,64,Movie Actress,26-03
Xiumin,34,Pop Singer,26-03
Razor,26,Roblox Star,26-03
Mikel Arteta,42,Soccer Player,26-03
James Doyle Fitness,22,TikTok Star,26-03
Juvenile,49,Rapper,26-03
