Ime,Starost,Poklic,Rojstni dan
Sophie Rain,19,Instagram Star,22-09
FGTeeV Chase,12,YouTube Star,22-09
Tom Felton,36,Movie Actor,22-09
mm2.frosty,17,Roblox Star,22-09
Seungmin,23,Pop Singer,22-09
Moneybagg Yo,32,Rapper,22-09
Jessie Murph,19,Pop Singer,22-09
PixelDrink,26,TikTok Star,22-09
Nayeon,28,Pop Singer,22-09
Blake Yeager,6,YouTube Star,22-09
Michael Rainey Jr.,23,TV Actor,22-09
Barrett Carnahan,31,TV Actor,22-09
Jerma985,38,YouTube Star,22-09
Joan Jett,65,Rock Singer,22-09
Jazlyn G,19,TikTok Star,22-09
Li Raed,20,TikTok Star,22-09
Jack Jones,16,Guitarist,22-09
Andrea Bocelli,65,Opera Singer,22-09
Kyra Henry,24,TikTok Star,22-09
Melvin Gregg,35,YouTube Star,22-09
Nader Furrha,33,TikTok Star,22-09
Derik Beeston,28,YouTube Star,22-09
Chris Tallman,53,TV Actor,22-09
Cody Veith,21,TV Actor,22-09
Thiago Silva,39,Soccer Player,22-09
Billie Piper,41,TV Actress,22-09
HeyImBee,30,YouTube Star,22-09
Kim Yoo-jung,24,TV Actress,22-09
Jenn Im,33,YouTube Star,22-09
Sharblox,17,TikTok Star,22-09
Bada Lee,28,Instagram Star,22-09
DCG Shun,20,Rapper,22-09
Ayla Jalyn,35,YouTube Star,22-09
Park Jin-young,29,Pop Singer,22-09
Chef Tyler,25,YouTube Star,22-09
Jeremy Peña,26,Baseball Player,22-09
Chelsea Tavares,32,TV Actress,22-09
G Flip,29,Pop Singer,22-09
Yang Jungwon,34,TV Actress,22-09
Parry Gripp,56,Rock Singer,22-09
Vanessa Nottingham,24,TV Actress,22-09
Ja Vonne Beard,42,YouTube Star,22-09
Brittany Isenhour,26,Soccer Player,22-09
Alina Becker,24,Instagram Star,22-09
Tatiana Maslany,38,TV Actress,22-09
DTG,31,TikTok Star,22-09
