Ime,Starost,Poklic,Rojstni dan
Johnnie Guilbert,26,Songwriter,28-08
Jack Black,54,Movie Actor,28-08
Honey Boo Boo,18,Reality Star,28-08
Tatiana Kaer,19,TikTok Star,28-08
Blakeley Churco,2,Family Member,28-08
David Dallas,41,Rapper,28-08
Katie Mylove Nazir,18,YouTube Star,28-08
August Maturo,16,TV Actor,28-08
Talia Jackson,22,TV Actress,28-08
Shania Twain,58,Country Singer,28-08
Jennifer Coolidge,62,Movie Actress,28-08
Jalaiah Harmon,18,TikTok Star,28-08
Quvenzhane Wallis,20,Movie Actress,28-08
Bazzi,26,Pop Singer,28-08
VuJae,24,TikTok Star,28-08
LeAnn Rimes,41,Country Singer,28-08
Cheryl Porter,51,Jazz Singer,28-08
MeEnyu,30,Roblox Star,28-08
Armie Hammer,37,Movie Actor,28-08
Ash Alk,21,TikTok Star,28-08
Isabella Leon,16,TV Actress,28-08
Tobi You,21,TikTok Star,28-08
Toxic Fairy,25,Instagram Star,28-08
Tanisha Thomas,38,Reality Star,28-08
Valtteri Bottas,34,Race Car Driver,28-08
Adhara Perez,12,Ni poklica,28-08
Aaliyah Wasko,19,TikTok Star,28-08
Kristiana,33,YouTube Star,28-08
Kaitlin Reagan,26,Reality Star,28-08
Zion Capers,21,TikTok Star,28-08
Bizarrap,25,Music Producer,28-08
Florence Welch,37,Rock Singer,28-08
Brian Hull,32,YouTube Star,28-08
Kyle Massey,32,TV Actor,28-08
Milyon,19,YouTube Star,28-08
Jordi Wild,39,YouTube Star,28-08
Jason Priestley,54,TV Actor,28-08
cassiesbooktok,20,TikTok Star,28-08
Samantha Kenny,26,Reality Star,28-08
Annabel Lucinda,21,TikTok Star,28-08
Kim Se-jeong,27,Pop Singer,28-08
Combo Panda,13,YouTube Star,28-08
Young Nut,25,Rapper,28-08
Kayla Ewell,38,TV Actress,28-08
Carly Silberman,19,TikTok Star,28-08
Parakeet Slimes,20,TikTok Star,28-08
Talia Fawaz,19,TikTok Star,28-08
