Ime,Starost,Poklic,Rojstni dan
Haven Lough,18,TikTok Star,19-01
Dolly Parton,78,Country Singer,19-01
Maru Lee,23,TikTok Star,19-01
Shawn Johnson,32,Gymnast,19-01
Jodie Sweetin,42,TV Actress,19-01
Brady Farrar,19,Instagram Star,19-01
Logan Lerman,32,Movie Actor,19-01
ZackTTG,35,Twitch Star,19-01
John Schlossberg,31,Family Member,19-01
Lil Scrappy,40,Rapper,19-01
Mattie Arcand,22,YouTube Star,19-01
Bundun,27,YouTube Star,19-01
Andrew Schrock,40,YouTube Star,19-01
Tibo InShape,32,YouTube Star,19-01
Natalia Bryant,21,Model,19-01
Jackson Dollinger,17,TV Actor,19-01
Harrison Webb,27,YouTube Star,19-01
Ron Killings,52,Wrestler,19-01
Bri Chief,28,Instagram Star,19-01
Argenby Sigma,22,TikTok Star,19-01
Shiloh Onyx Kids,17,YouTube Star,19-01
Hwang In-youp,33,TV Actor,19-01
Shawn Wayans,53,Movie Actor,19-01
Riya Malik,30,YouTube Star,19-01
Pete Buttigieg,42,Politician,19-01
Rachel Pizzolato,20,TikTok Star,19-01
iiiamdess,21,Instagram Star,19-01
Jenson Button,44,Race Car Driver,19-01
Erin Sanders,33,TV Actress,19-01
MattDoesFitness,38,YouTube Star,19-01
Lidya Jewett,17,TV Actress,19-01
Paula Deen,77,Chef,19-01
London Loyal Family,12,YouTube Star,19-01
Bianca Bustamante,19,Race Car Driver,19-01
Ella Deasy,18,TikTok Star,19-01
MaxINFINITE,33,YouTube Star,19-01
Dino Beganovic,20,Race Car Driver,19-01
Keizha Enyce,22,TikTok Star,19-01
Papa Jay,16,Rapper,19-01
Dom Dolla,32,Music Producer,19-01
Benji Miranda,19,TikTok Star,19-01
Dustin Poirier,35,MMA Fighter,19-01
Victoria Raechel,25,YouTube Star,19-01
