Ime,Starost,Poklic,Rojstni dan
Faye Knightly,11,Instagram Star,06-05
Angel Reese,22,Basketball Player,06-05
Aryan Simhadri,18,TV Actor,06-05
Cole Palmer,22,Soccer Player,06-05
Harry Pinero,33,Instagram Star,06-05
George Clooney,63,Movie Actor,06-05
Meek Mill,37,Rapper,06-05
Yzeqez Timmons,21,TikTok Star,06-05
Sadie Sandler,18,Movie Actress,06-05
Naomi Scott,31,Movie Actress,06-05
Tiania Haneline,43,TikTok Star,06-05
Chris Paul,39,Basketball Player,06-05
Nadwe,18,YouTube Star,06-05
Josiah.official,23,Instagram Star,06-05
Mopi,25,YouTube Star,06-05
Ranz Kyle,27,YouTube Star,06-05
Ryan Anderson,36,Basketball Player,06-05
Dianne Buswell,35,YouTube Star,06-05
TbhHonest,18,YouTube Star,06-05
James A. Janisse,35,YouTube Star,06-05
BadKidHannah,17,Instagram Star,06-05
AYD,21,YouTube Star,06-05
Emily Alyn Lind,22,Movie Actress,06-05
Cheree Crowley,36,Wrestler,06-05
Kevin Ninh,28,YouTube Star,06-05
Alexia Magallon,19,Instagram Star,06-05
Baekhyun,32,Pop Singer,06-05
José Altuve,34,Baseball Player,06-05
Joe Fazer,22,YouTube Star,06-05
Jagger Ray Moon,22,TikTok Star,06-05
TheLondonCharles,31,TikTok Star,06-05
Sophia Rose Turino,19,Model,06-05
Linda Furrha,24,Instagram Star,06-05
Lisi Maldonado,48,TikTok Star,06-05
Gavin McHugh,14,TV Actor,06-05
Emily Elizabeth,26,Instagram Star,06-05
Prince Archie of Sussex,5,Family Member,06-05
Pato O'Ward,25,Race Car Driver,06-05
Sofia Jamora,27,Model,06-05
Asha Zapf,21,Instagram Star,06-05
Maître Gims,38,Rapper,06-05
Nicolas Calero,12,Pop Singer,06-05
Janelle Shanks,34,Reality Star,06-05
KJ Smith,39,Movie Actress,06-05
Bob Seger,79,Rock Singer,06-05
Stary Bella,4,Family Member,06-05
Tiera Skovbye,29,TV Actress,06-05
