Ime,Starost,Poklic,Rojstni dan
Hugh Jackman,55,Movie Actor,12-10
Josh Hutcherson,31,Movie Actor,12-10
Eisha Hickson,21,Instagram Star,12-10
Darci Lynne Farmer,19,Ventriloquist,12-10
Tokyo Toni,52,Family Member,12-10
Brett Cooper,22,TV Show Host,12-10
Kelli Maple,22,YouTube Star,12-10
Murda B,19,Rapper,12-10
Dasha Taran,24,Instagram Star,12-10
Iris Apatow,21,Movie Actress,12-10
Luna Bloom,29,TikTok Star,12-10
Tess Holloway,19,TikTok Star,12-10
Samia Ali,9,YouTube Star,12-10
Calum Scott,35,Pop Singer,12-10
Nick Huxch,32,Instagram Star,12-10
Lara Trump,41,Instagram Star,12-10
Erica Dixon,40,Reality Star,12-10
Nathaniel Bandy,30,YouTube Star,12-10
Tyler Blackburn,37,TV Actor,12-10
Richard Sales,34,TikTok Star,12-10
John Booko,41,YouTube Star,12-10
Matteo Lombardo,17,TikTok Star,12-10
Tommy G,30,YouTube Star,12-10
Kirk Cameron,53,TV Actor,12-10
Michael Myers,27,MMA Fighter,12-10
Coline Sicre,25,TikTok Star,12-10
Jongho,23,Pop Singer,12-10
Bianca Scaglione,26,TikTok Star,12-10
Sophie Hannah Richardson,33,YouTube Star,12-10
Lilly Kruk,18,Model,12-10
Tom Guiry,42,Movie Actor,12-10
Fiona Palomo,25,TV Actress,12-10
Chloe Difatta,20,TikTok Star,12-10
Dominic Thomas,32,Rapper,12-10
Abby Nicole,25,YouTube Star,12-10
Gale Fassbender,20,TikTok Star,12-10
Saphire Tillman,3,YouTube Star,12-10
Adam Fantilli,19,Hockey Player,12-10
Tyran Stokes,16,Basketball Player,12-10
James Graham,27,Pop Singer,12-10
Jimmy Zhang,28,YouTube Star,12-10
Chad Thomas,28,Football Player,12-10
Jessica Shannon,27,Reality Star,12-10
Alexa Collins,28,Model,12-10
Kane Foster,30,YouTube Star,12-10
Marko Jaric,45,Basketball Player,12-10
