Ime,Starost,Poklic,Rojstni dan
Simone Biles,27,Gymnast,14-03
Stephen Curry,36,Basketball Player,14-03
BabyMagic,18,YouTube Star,14-03
CookieSwirlC,27,YouTube Star,14-03
ChriseanRock,24,Instagram Star,14-03
Nick Eh 30,29,YouTube Star,14-03
Zhong,24,TikTok Star,14-03
Briblixks,20,TikTok Star,14-03
Danilis Boom,22,TikTok Star,14-03
Kash Doll,35,Rapper,14-03
Daniel Gillies,48,TV Actor,14-03
Ansel Elgort,30,Movie Actor,14-03
Brice Rivera,30,Instagram Star,14-03
Shannon St. Clair,28,Reality Star,14-03
Ian Lucas,25,Pop Singer,14-03
Jason Waud,21,TikTok Star,14-03
Joe Waud,21,TikTok Star,14-03
Kailyn Lowry,32,Reality Star,14-03
Brian Quinn,48,Comedian,14-03
Greta Onieogou,33,TV Actress,14-03
OmarGoshTV,42,YouTube Star,14-03
Sofia Bella,27,TikTok Star,14-03
Oneya Johnson,26,TikTok Star,14-03
Marta Shitaye,22,TikTok Star,14-03
Durv,21,YouTube Star,14-03
Michael Turk,26,Football Player,14-03
Catalina Selman,23,Instagram Star,14-03
Oscar Rosenstroem,22,TikTok Star,14-03
Aamir Khan,59,Movie Actor,14-03
Sasha Grey,36,Movie Actress,14-03
AJ Clementine,28,Model,14-03
Abby Ryder Fortson,16,TV Actress,14-03
Dk Money,27,Instagram Star,14-03
Slaiman,31,YouTube Star,14-03
Roxxsaurus,28,YouTube Star,14-03
Michael Caine,91,Movie Actor,14-03
Quincy Jones,91,Music Producer,14-03
CrazyMarioBros,19,YouTube Star,14-03
Dan Avidan,45,YouTube Star,14-03
Julianna Claire,33,Blogger,14-03
Billy Crystal,76,Movie Actor,14-03
Sammi Giancola,37,Reality Star,14-03
Jamie Bell,38,Movie Actor,14-03
Jihoon,24,Pop Singer,14-03
Thogdad,56,YouTube Star,14-03
Simon Lane,46,YouTube Star,14-03
Preacher Lawson,33,Comedian,14-03
