Ime,Starost,Poklic,Rojstni dan
FGTeeV Duddy,49,YouTube Star,29-10
Spencer Barbosa,21,TikTok Star,29-10
Grace Conder,16,YouTube Star,29-10
Sara Hesri,30,Instagram Star,29-10
Winona Ryder,52,Movie Actress,29-10
Bigpuffer,27,YouTube Star,29-10
Stromedy,25,YouTube Star,29-10
Blarg,27,YouTube Star,29-10
Ellie Thumann,22,Model,29-10
Gabrielle Union,51,Movie Actress,29-10
Dash Brown,14,TikTok Star,29-10
Ian Haueter,19,TikTok Star,29-10
Adam Waheed,31,Instagram Star,29-10
Ruel,21,Soul Singer,29-10
Tove Lo,36,Pop Singer,29-10
SnipingSoup,26,YouTube Star,29-10
Emilia Mernes,27,Pop Singer,29-10
Madison Conder,2,Family Member,29-10
Skengdo,26,Rapper,29-10
Lance Stroll,25,Race Car Driver,29-10
Liam Thompson,30,YouTube Star,29-10
Randy Jackson,62,Pop Singer,29-10
KKVSH,26,Instagram Star,29-10
Tracee Ellis Ross,51,TV Actress,29-10
India Eisley,30,TV Actress,29-10
Jeffrey X,24,YouTube Star,29-10
Lani Smith,16,Twitch Star,29-10
Dallas Soup,26,YouTube Star,29-10
Jonnaay,19,Twitch Star,29-10
Ivy Li,21,TikTok Star,29-10
Anavaeh Wallace,10,YouTube Star,29-10
Nate Hardy,27,Instagram Star,29-10
Astrid Smeplass,27,Pop Singer,29-10
Ariana Berlin,36,Gymnast,29-10
El Mundo de Indy,16,YouTube Star,29-10
Jacqueline Jossa,31,Soap Opera Actress,29-10
Moses Hacmon,46,Conceptual Artist,29-10
Johannes Bartl,36,Instagram Star,29-10
Fleur East,36,Pop Singer,29-10
rendi_popping,23,TikTok Star,29-10
Chen Zheyuan,27,TV Actor,29-10
Alex Crashers,21,YouTube Star,29-10
Dan Castellaneta,66,Voice Actor,29-10
Gautami Kawale,25,YouTube Star,29-10
Parris Goebel,32,Instagram Star,29-10
Lela Sohna,23,TikTok Star,29-10
Brad Leman,27,YouTube Star,29-10
