Ime,Starost,Poklic,Rojstni dan
Nick Jonas,31,Pop Singer,16-09
Chase Stokes,31,TV Actor,16-09
Anthony Padilla,36,YouTube Star,16-09
Sienna Fizz,12,YouTube Star,16-09
Alexis Bledel,42,TV Actress,16-09
Joji,30,R&B Singer,16-09
Metro Boomin,30,Music Producer,16-09
Amy Poehler,52,TV Actress,16-09
Flo Rida,44,Rapper,16-09
Noah Boat,26,YouTube Star,16-09
Ian Harding,37,TV Actor,16-09
Mark Phillips,29,YouTube Star,16-09
Millie T,23,YouTube Star,16-09
Olivia Johnson,13,YouTube Star,16-09
Bogdan Ilic,27,eSports Player,16-09
Marc Anthony,55,Pop Singer,16-09
Kyla Pratt,37,Movie Actress,16-09
Laura Celia Valk,25,Model,16-09
Jennifer Tilly,65,Movie Actress,16-09
Hannah-Mae Smith,21,TikTok Star,16-09
Michelle Scott,21,TikTok Star,16-09
Piper Rubio,8,TV Actress,16-09
Brianna Buchanan,18,Instagram Star,16-09
Loona,49,Pop Singer,16-09
Davo Migo,25,YouTube Star,16-09
Cristal Valdes,33,YouTube Star,16-09
Hakeem Newkirk,22,Instagram Star,16-09
Naja Munster,14,YouTube Star,16-09
Ella Grace Cervetto,23,TikTok Star,16-09
Marcus T. Gray,42,R&B Singer,16-09
Freddy Cousin-Brown,29,YouTube Star,16-09
Robert Anthony Cruz,25,Baseball Player,16-09
Bryson DeChambeau,30,Golfer,16-09
Lil'd,48,Tattoo Artist,16-09
Gleb Savchenko,40,Dancer,16-09
Michael Mosley,45,TV Actor,16-09
Anthony Rivera,27,YouTube Star,16-09
Channon Rose,38,Model,16-09
Bella Robertson,21,Reality Star,16-09
oliviabettyrain,30,TikTok Star,16-09
Amy-Leigh Hickman,26,TV Actress,16-09
Minna Rosa Weber,20,TikTok Star,16-09
David Copperfield,67,Magician,16-09
Molly Shannon,59,Comedian,16-09
Jackie Young,26,Basketball Player,16-09
Carlo Longo,27,TikTok Star,16-09
Teddy Geiger,35,Rock Singer,16-09
