Ime,Starost,Poklic,Rojstni dan
Walker Scobell,15,Movie Actor,05-01
Griffin Santopietro,18,TV Actor,05-01
Bradley Cooper,49,Movie Actor,05-01
Everly Joy Lambert,6,YouTube Star,05-01
Myla Monroe Fickley,9,Family Member,05-01
Elm0zwrld,16,TikTok Star,05-01
Mike Faist,32,Stage Actor,05-01
Suki Waterhouse,32,Songwriter,05-01
Kennedy Claire Walsh,24,YouTube Star,05-01
Marilyn Manson,55,Rock Singer,05-01
Deepika Padukone,38,Movie Actress,05-01
Ana Sobonja,21,TikTok Star,05-01
Jonah Larson,16,Instagram Star,05-01
Jak Piggott,18,TikTok Star,05-01
January Jones,46,TV Actress,05-01
Deadmau5,43,DJ,05-01
Kristin Cavallari,37,Reality Star,05-01
Bianca Censori,29,Family Member,05-01
Hannah Marie Royal,22,Instagram Star,05-01
Aiden Onfroy,13,Family Member,05-01
Chloe FamilyFunPack,2,YouTube Star,05-01
Ra'Mariah Alexia,16,YouTube Star,05-01
Tara Michelle,29,YouTube Star,05-01
Bianca Limon,23,TikTok Star,05-01
Asher Middleton,4,Family Member,05-01
Ms. Juicy Baby,52,Radio Host,05-01
Clancy Brown,65,Movie Actor,05-01
Andre Castle,18,YouTube Star,05-01
Connor Yates,25,Instagram Star,05-01
Diane Keaton,78,Movie Actress,05-01
Gami OS,21,YouTube Star,05-01
Darell,34,Reggaeton Singer,05-01
Anastasia Bezrukova,20,Model,05-01
Milli Jo Mcloughlin,21,TikTok Star,05-01
Ava Grace,16,Family Member,05-01
Tyler James,38,Pop Singer,05-01
Hayao Miyazaki,83,Director,05-01
Money Kicks,22,YouTube Star,05-01
Bmx Caiden,13,YouTube Star,05-01
Rio Romeo,25,Pop Singer,05-01
Heather Dubrow,55,Reality Star,05-01
Paluten,37,YouTube Star,05-01
Wehoopin,22,TikTok Star,05-01
Emil Rantatulkkila,30,YouTube Star,05-01
Benny Osborne,26,YouTube Star,05-01
Sakis Rouvas,52,Pop Singer,05-01
Whindersson Nunes,29,YouTube Star,05-01
Robert Duvall,93,Movie Actor,05-01
