Ime,Starost,Poklic
Sofi Manassyan,16,Instagram Star
Meghan Trainor,30,Pop Singer
Latto,25,Rapper
Joshua Bassett,23,TV Actor
Madeleine McGraw,15,TV Actress
DaBaby,32,Rapper
Selena Davis,20,Instagram Star
Tanner Fox,24,YouTube Star
FocusRBX,19,Roblox Star
Joe Albanese,22,TikTok Star
Chris Olsen,26,TikTok Star
Genevieve Hannelius,25,TV Actress
Ethan Fair,20,Instagram Star
Ana Beregoi,17,YouTube Star
Bryce Gheisar,19,Movie Actor
Halo Bailey,7 months,Family Member
Kenzie Bush,24,TikTok Star
Nate Garner,27,Instagram Star
Kellise Caddis,19,TikTok Star
Hennessy Carolina,28,Instagram Star
Jordin Sparks,34,Pop Singer
Alyssa Joy Greene,31,Instagram Star
Ralph Fiennes,61,Movie Actor
Kinley Cunningham,13,Dancer
Idris Majo,22,YouTube Star
Haley Morales,20,YouTube Star
Jana Soss,23,YouTube Star
Andrea Camila,24,TikTok Star
Bader Al Safar,32,TikTok Star
Aidan McGraw,15,Movie Actor
Maria Mir,37,YouTube Star
King Kaiser,27,Instagram Star
Grace Woodwell,7,Family Member
Prinz,19,Rapper
Skip the Tutorial,22,YouTube Star
Mariana Ávila,29,YouTube Star
Ted Cruz,53,Politician
Sarah Noelle,26,TV Actress
Naomi Biden,30,Family Member
Denzel Dion,26,Instagram Star
Sematary,23,Rapper
Chris Hughes,31,Reality Star
Chris Brown,42,Gospel Singer
Joe Dinicol,40,TV Actor
Vanessa Paradis,51,Pop Singer
Gabriel Medina,30,Surfer
Mati Spano,20,TikTok Star
Hobo Johnson,29,Rapper
