Ime,Starost,Poklic,Rojstni dan
JustJules,14,YouTube Star,29-08
Liam Payne,30,Pop Singer,29-08
Nathaly Cuevas,20,YouTube Star,29-08
Lucas Cruikshank,30,YouTube Star,29-08
Kendall Maynard,18,TikTok Star,29-08
Oompaville,27,YouTube Star,29-08
Lea Michele,37,TV Actress,29-08
Clara Dao,25,TikTok Star,29-08
mosiah.h,19,TikTok Star,29-08
Halle Sandberg,19,TikTok Star,29-08
queerelf,18,TikTok Star,29-08
Yesly Dimate,26,TikTok Star,29-08
Slim2Bad,27,Reality Star,29-08
Moochie,25,YouTube Star,29-08
Mateo Bowles,24,YouTube Star,29-08
D'Angelo Wallace,25,YouTube Star,29-08
Grace Slove,22,Instagram Star,29-08
Khia Lopez,19,Model,29-08
Matt Sohinki,36,YouTube Star,29-08
Chelsea DeBoer,32,Reality Star,29-08
Nicole Byer,37,Comedian,29-08
William Levy,43,TV Actor,29-08
Glokk40Spaz,20,Rapper,29-08
Martin Bobb-Semple,26,TV Actor,29-08
Jannat Zubair Rahmani,22,Movie Actress,29-08
Omari’yon Harris,20,Instagram Star,29-08
Brodie Smith,36,YouTube Star,29-08
Montana Brown,28,Reality Star,29-08
Ceyoncebaby,19,TikTok Star,29-08
King Shawnn,28,YouTube Star,29-08
Phoenix Nitro,26,YouTube Star,29-08
Kewiy,20,YouTube Star,29-08
Eduardo Franco,29,Movie Actor,29-08
Carla Gugino,52,Movie Actress,29-08
Kitty Lux,15,TikTok Star,29-08
Jay Ryan,42,TV Actor,29-08
LongBeachGriffy,29,YouTube Star,29-08
Ottilie Deyes,2,Family Member,29-08
Mario Gomez,19,TikTok Star,29-08
Kinsey Wolanski,27,Model,29-08
David Rodriguez,28,TikTok Star,29-08
Hajime Isayama,37,Cartoonist,29-08
Jordan Williams,22,TikTok Star,29-08
Dante Basco,48,Movie Actor,29-08
Nicole Anderson,33,TV Actress,29-08
