Ime,Starost,Poklic,Rojstni dan
Vin Diesel,57,Movie Actor,18-07
Noah Lyles,27,Runner,18-07
Priyanka Chopra,42,Movie Actress,18-07
Kristen Bell,44,TV Actress,18-07
Chace Crawford,39,TV Actor,18-07
Wendy Williams,60,TV Show Host,18-07
Ramiyah Marie,20,Instagram Star,18-07
Canelo Álvarez,34,Boxer,18-07
Kaylee Quinn,20,Dancer,18-07
Taylor Russell,30,TV Actress,18-07
Matthew Moore,49,Director,18-07
M.I.A,49,Rapper,18-07
Cody Detwiler,26,YouTube Star,18-07
Taemin,31,Pop Singer,18-07
JD McCrary,17,TV Actor,18-07
Summerella,29,Instagram Star,18-07
Micaela Riera,33,TV Actress,18-07
Yung Lean,28,Rapper,18-07
Calum Harper,22,Model,18-07
LostNUnbound,26,YouTube Star,18-07
Bam Adebayo,27,Basketball Player,18-07
Paulie Brokaw,21,TikTok Star,18-07
Baddiewinkle,96,Instagram Star,18-07
Lamar Johnson,30,Dancer,18-07
Sharkblox,24,Roblox Star,18-07
Elsa Pataky,48,Model,18-07
Daron Malakian,49,Guitarist,18-07
Christon Gray,38,R&B Singer,18-07
Lil Bibby,30,Rapper,18-07
Benzino,59,Rapper,18-07
Hailie Deegan,23,Race Car Driver,18-07
Daneliya Tuleshova,18,Pop Singer,18-07
Mandy Rose,34,Wrestler,18-07
Andrew Montzingo,38,TikTok Star,18-07
Luis Ríos,21,TikTok Star,18-07
Tpindell,40,YouTube Star,18-07
Bishop Briggs,32,Pop Singer,18-07
Richard Branson,74,Entrepreneur,18-07
Lindsey Nicole,25,TikTok Star,18-07
Bella Lyn Basque,17,Instagram Star,18-07
DonaldDucc,21,TikTok Star,18-07
Leen Mohd,26,TikTok Star,18-07
Hopsin,39,Rapper,18-07
2kBaby,24,Rapper,18-07
Parker Greenhill,24,TikTok Star,18-07
Diana Williams,66,Journalist,18-07
