Ime,Starost,Poklic,Rojstni dan
Dkane,20,TikTok Star,30-03
Céline Dion,56,Pop Singer,30-03
Roman Too Lit,18,YouTube Star,30-03
Brooke Barry,23,TikTok Star,30-03
Kaden Roque,12,YouTube Star,30-03
Jazmine Tan,25,YouTube Star,30-03
Noah Jay Wood,24,TikTok Star,30-03
NF,33,Rapper,30-03
Cha Eun-woo,27,Pop Singer,30-03
Anitta,31,Pop Singer,30-03
Anna Sitar,27,TikTok Star,30-03
Sergio Ramos,38,Soccer Player,30-03
Thomas Rhett,34,Country Singer,30-03
Towa Bird,25,TikTok Star,30-03
Brooke Bush,25,YouTube Star,30-03
Manrika Khaira,28,Reality Star,30-03
KKingCee,8,Rapper,30-03
Cooper May,16,TikTok Star,30-03
MC Hammer,62,Rapper,30-03
Jasmin Aitimova,15,YouTube Star,30-03
Simone Ashley,29,TV Actress,30-03
Piers Morgan,59,TV Show Host,30-03
Alessia Francesca Saccone-Joly,7,YouTube Star,30-03
Isaac Lupien,29,Dancer,30-03
Jordan Davis,36,Country Singer,30-03
Tracy Chapman,60,Pop Singer,30-03
Kyson Roque,12,YouTube Star,30-03
Kwite,24,YouTube Star,30-03
Eric Clapton,79,Guitarist,30-03
Norah Jones,45,Jazz Singer,30-03
Laff,27,YouTube Star,30-03
Mark Consuelos,53,TV Actor,30-03
PM7,29,YouTube Star,30-03
rapalotkid.paigee,18,Instagram Star,30-03
Myron Jewell,39,TikTok Star,30-03
Richard Sherman,36,Football Player,30-03
HollowPoiint,33,YouTube Star,30-03
Brielle Panton,1,Family Member,30-03
Gideon Adlon,27,Movie Actress,30-03
Kalel,35,YouTube Star,30-03
Kiana Nicole Washington,25,TV Actress,30-03
Juraj Slafkovský,20,Hockey Player,30-03
UnlistedLeaf,29,YouTube Star,30-03
David So,37,YouTube Star,30-03
Almondmilkhunni,27,Pop Singer,30-03
