Ime,Starost,Poklic,Rojstni dan
Lowkey.Sophie,15,YouTube Star,06-04
Peyton List,26,TV Actress,06-04
Oscar Piastri,23,Race Car Driver,06-04
Candace Cameron-Bure,48,TV Actress,06-04
Casey Simpson,20,TV Actor,06-04
Paul Rudd,55,Movie Actor,06-04
Tim Walz,60,Politician,06-04
Giselle Lomelino,21,YouTube Star,06-04
Miranda May,28,TV Actress,06-04
Andrea Botez,22,Chess Player,06-04
Gabrielle Moses,24,YouTube Star,06-04
AshleyTheUnicorn,24,YouTube Star,06-04
Mingyu,27,Rapper,06-04
Elena Shinohara,24,Gymnast,06-04
Sdot Go,19,Rapper,06-04
Jack Stauber,28,Pop Singer,06-04
Spencer List,26,Movie Actor,06-04
Ali Dawah,35,YouTube Star,06-04
Todd Chrisley,55,Reality Star,06-04
Nico Collins,27,YouTube Star,06-04
Adrián Marcelo,34,Instagram Star,06-04
Meech,28,YouTube Star,06-04
Elisabeth Fritzl,58,Ni poklica,06-04
Michiel Callebaut,28,YouTube Star,06-04
1nonly,20,Rapper,06-04
Brandon Max,23,TikTok Star,06-04
Solya,18,Songwriter,06-04
Zach Braff,49,TV Actor,06-04
Charlie McDermott,34,TV Actor,06-04
Billy Dee Williams,87,Movie Actor,06-04
Caren Marsh Doll,105,Dancer,06-04
Matt Scharff,25,TikTok Star,06-04
Yamine Kabane,28,Rapper,06-04
Kiara.amt,21,TikTok Star,06-04
Fabien Frankel,30,TV Actor,06-04
April Orgill,45,YouTube Star,06-04
Tay Money,31,Rapper,06-04
Keaton T Oaks,20,TikTok Star,06-04
Carmen Gollihar,48,TikTok Star,06-04
Ali Efe Güneş,19,Figure Skater,06-04
Shaylee Mansfield,15,Movie Actress,06-04
Valentina Tronel,15,Pop Singer,06-04
Michael Rooker,69,TV Actor,06-04
Virgínia Fonseca,25,YouTube Star,06-04
Junny,28,Pop Singer,06-04
Aaron Bodden,26,Rapper,06-04
